BLE_A_ZONE,CORELOGIC,CNTY,POL_NAME2,lat,lng,state
0,1,Madison,"Unincorporated Areas, Madison County",36.199855,-93.785634,AR
0,1,Madison,"Unincorporated Areas, Madison County",35.991647,-93.696452,AR
0,1,Madison,"Unincorporated Areas, Madison County",36.052776,-93.510513,AR
0,1,Madison,"Unincorporated Areas, Madison County",36.005057,-93.938015,AR
0,1,Madison,"Unincorporated Areas, Madison County",35.989877,-93.69583,AR
0,1,Madison,"Unincorporated Areas, Madison County",36.037582,-93.700656,AR
0,1,Madison,"Unincorporated Areas, Madison County",36.220162,-93.634527,AR
0,1,Madison,"Unincorporated Areas, Madison County",35.91814,-93.692008,AR
0,1,Madison,"Unincorporated Areas, Madison County",36.235822,-93.769455,AR
0,1,Madison,"Unincorporated Areas, Madison County",36.130879,-93.710774,AR
0,1,Madison,"Unincorporated Areas, Madison County",36.125003,-93.705731,AR
0,1,Madison,"Unincorporated Areas, Madison County",35.9362,-93.936082,AR
0,1,Madison,"Unincorporated Areas, Madison County",36.004768,-93.841648,AR
0,1,Madison,"Unincorporated Areas, Madison County",36.006699,-93.841372,AR
0,1,Madison,"Unincorporated Areas, Madison County",36.243708,-93.852037,AR
0,1,Madison,"Unincorporated Areas, Madison County",35.85548,-93.929887,AR
0,1,Madison,"Unincorporated Areas, Madison County",35.996082,-93.930578,AR
0,1,Madison,"Unincorporated Areas, Madison County",36.031847,-93.804285,AR
0,1,Madison,"Unincorporated Areas, Madison County",36.089595,-93.569078,AR
0,1,Madison,"Unincorporated Areas, Madison County",35.992125,-93.696336,AR
0,1,Madison,"Unincorporated Areas, Madison County",35.853803,-93.793524,AR
0,1,Madison,"Unincorporated Areas, Madison County",35.973679,-93.931382,AR
0,1,Madison,City Of Huntsville,36.111175,-93.733519,AR
0,1,Madison,"Unincorporated Areas, Madison County",35.975753,-93.932967,AR
0,1,Madison,"Unincorporated Areas, Madison County",35.888377,-93.675037,AR
0,1,Madison,"Unincorporated Areas, Madison County",35.8355,-93.939259,AR
0,1,Madison,"Unincorporated Areas, Madison County",35.994326,-93.696818,AR
0,1,Madison,"Unincorporated Areas, Madison County",36.030411,-93.604053,AR
0,1,Madison,"Unincorporated Areas, Madison County",36.235499,-93.767534,AR
0,1,Madison,"Unincorporated Areas, Madison County",36.035489,-93.911746,AR
0,1,Madison,"Unincorporated Areas, Madison County",36.121285,-93.665313,AR
0,1,Madison,"Unincorporated Areas, Madison County",36.050244,-93.665424,AR
0,1,Madison,"Unincorporated Areas, Madison County",36.055745,-93.532507,AR
0,1,Madison,"Unincorporated Areas, Madison County",36.007791,-93.88654,AR
0,1,Madison,"Unincorporated Areas, Madison County",35.935356,-93.679036,AR
0,1,Madison,Town Of St. Paul,35.825287,-93.763526,AR
