NAME,ADDRESS,CITY,STATE,ZIP,COUNTY,lat,lng,LEVEL_,NAME_1,In_SFHA,lat,lng,logo_url
W A KIEBERGER EL,748 WEST GOODNIGHT AVE,ARANSAS PASS,TX,78336,SAN PATRICIO,27.90684301,-97.15351536,PRIMARY,Aransas Bay,No,27.90684301,-97.15351536,https://data.femadata.com/Region6/tspws/img/logo/Public_School.PNG
H T FAULK EARLY CHILDHOOD SCHOOL,430 SOUTH 8TH ST,ARANSAS PASS,TX,78336,SAN PATRICIO,27.90701034,-97.15590726,PRIMARY,Aransas Bay,No,27.90701034,-97.15590726,https://data.femadata.com/Region6/tspws/img/logo/Public_School.PNG
ARANSAS PASS H S,450 SOUTH AVE A,ARANSAS PASS,TX,78336,SAN PATRICIO,27.91318658,-97.16790469,HIGH,Aransas Bay,No,27.91318658,-97.16790469,https://data.femadata.com/Region6/tspws/img/logo/Public_School.PNG
CHARLIE MARSHALL EL,2300 MCMULLEN LN,ARANSAS PASS,TX,78336,SAN PATRICIO,27.91483267,-97.17347908,MIDDLE,Aransas Bay,No,27.91483267,-97.17347908,https://data.femadata.com/Region6/tspws/img/logo/Public_School.PNG
A C BLUNT MIDDLE,2103 DEMORY LN,ARANSAS PASS,TX,78336,SAN PATRICIO,27.91594966,-97.17081973,MIDDLE,Aransas Bay,No,27.91594966,-97.17081973,https://data.femadata.com/Region6/tspws/img/logo/Public_School.PNG
AUSTIN EL,308 NORTH GREGORY AVE,GREGORY,TX,78359,SAN PATRICIO,27.92439964,-97.28757099,PRIMARY,Aransas Bay,No,27.92439964,-97.28757099,https://data.femadata.com/Region6/tspws/img/logo/Public_School.PNG
LIVE OAK 1-3 LEARNING CENTER,21 GRIFFITH DR,ROCKPORT,TX,78382,ARANSAS,28.02959926,-97.08794534,PRIMARY,Aransas Bay,No,28.02959926,-97.08794534,https://data.femadata.com/Region6/tspws/img/logo/Public_School.PNG
ROCKPORT-FULTON H S,1801 OMOHUNDRO,ROCKPORT,TX,78382,ARANSAS,28.0424284,-97.04552608,HIGH,Aransas Bay,No,28.0424284,-97.04552608,https://data.femadata.com/Region6/tspws/img/logo/Public_School.PNG
LITTLE BAY PRI,2000 HWY 35N,ROCKPORT,TX,78382,ARANSAS,28.04459386,-97.04204775,PRIMARY,Aransas Bay,No,28.04459386,-97.04204775,https://data.femadata.com/Region6/tspws/img/logo/Public_School.PNG
ROCKPORT-FULTON MIDDLE,1701 COLORADO AVE,ROCKPORT,TX,78382,ARANSAS,28.04531221,-97.04572252,MIDDLE,Aransas Bay,No,28.04531221,-97.04572252,https://data.femadata.com/Region6/tspws/img/logo/Public_School.PNG
FULTON 4-5 LEARNING CENTER,314 NORTH 6TH ST,FULTON,TX,78358,ARANSAS,28.065761,-97.03877,MIDDLE,Aransas Bay,No,28.065761,-97.03877,https://data.femadata.com/Region6/tspws/img/logo/Public_School.PNG
