County,City,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
SAN PATRICIO,ARANSAS PASS,Aransas Bay,0,No,27.90684301,-97.15351536,Aransas Bay,img/public_schools.png
SAN PATRICIO,ARANSAS PASS,Aransas Bay,0,No,27.90701034,-97.15590726,Aransas Bay,img/public_schools.png
SAN PATRICIO,ARANSAS PASS,Aransas Bay,0,No,27.91318658,-97.16790469,Aransas Bay,img/public_schools.png
SAN PATRICIO,ARANSAS PASS,Aransas Bay,0,No,27.91483267,-97.17347908,Aransas Bay,img/public_schools.png
SAN PATRICIO,ARANSAS PASS,Aransas Bay,0,No,27.91594966,-97.17081973,Aransas Bay,img/public_schools.png
SAN PATRICIO,GREGORY,Aransas Bay,0,No,27.92439964,-97.28757099,Aransas Bay,img/public_schools.png
ARANSAS,ROCKPORT,Aransas Bay,0,No,28.02959926,-97.08794534,Aransas Bay,img/public_schools.png
ARANSAS,ROCKPORT,Aransas Bay,0,No,28.0424284,-97.04552608,Aransas Bay,img/public_schools.png
ARANSAS,ROCKPORT,Aransas Bay,0,No,28.04459386,-97.04204775,Aransas Bay,img/public_schools.png
ARANSAS,ROCKPORT,Aransas Bay,0,No,28.04531221,-97.04572252,Aransas Bay,img/public_schools.png
ARANSAS,FULTON,Aransas Bay,0,No,28.065761,-97.03877,Aransas Bay,img/public_schools.png
