SFHA,In_SFHA,lat,lng,Watershed,logo_url
1,Yes,27.865094,-97.084083,Aransas Bay,img/s_bridge.png
1,Yes,27.879422,-97.204511,Aransas Bay,img/s_bridge.png
1,Yes,27.882136,-97.102039,Aransas Bay,img/s_bridge.png
1,Yes,27.887881,-97.204486,Aransas Bay,img/s_bridge.png
1,Yes,27.886381,-97.106714,Aransas Bay,img/s_bridge.png
1,Yes,27.892664,-97.152897,Aransas Bay,img/s_bridge.png
1,Yes,27.896733,-97.136211,Aransas Bay,img/s_bridge.png
1,Yes,27.8981,-97.13985,Aransas Bay,img/s_bridge.png
1,Yes,27.905817,-97.199814,Aransas Bay,img/s_bridge.png
0,No,27.917081,-97.280203,Aransas Bay,img/s_bridge.png
0,No,27.917206,-97.280442,Aransas Bay,img/s_bridge.png
0,No,27.921958,-97.214108,Aransas Bay,img/s_bridge.png
0,No,27.926267,-97.2692,Aransas Bay,img/s_bridge.png
0,No,27.926817,-97.268667,Aransas Bay,img/s_bridge.png
0,No,27.926461,-97.231525,Aransas Bay,img/s_bridge.png
0,No,27.928264,-97.301431,Aransas Bay,img/s_bridge.png
1,Yes,27.927558,-97.228842,Aransas Bay,img/s_bridge.png
1,Yes,27.928142,-97.231478,Aransas Bay,img/s_bridge.png
1,Yes,27.927094,-97.175114,Aransas Bay,img/s_bridge.png
1,Yes,27.927325,-97.174942,Aransas Bay,img/s_bridge.png
1,Yes,27.929247,-97.186967,Aransas Bay,img/s_bridge.png
1,Yes,27.929419,-97.188661,Aransas Bay,img/s_bridge.png
1,Yes,27.929539,-97.187053,Aransas Bay,img/s_bridge.png
0,No,27.929719,-97.183222,Aransas Bay,img/s_bridge.png
1,Yes,27.930264,-97.188,Aransas Bay,img/s_bridge.png
0,No,27.932842,-97.267067,Aransas Bay,img/s_bridge.png
0,No,27.968519,-97.124547,Aransas Bay,img/s_bridge.png
0,No,27.968611,-97.125469,Aransas Bay,img/s_bridge.png
0,No,27.968661,-97.124842,Aransas Bay,img/s_bridge.png
1,Yes,27.994853,-97.167708,Aransas Bay,img/s_bridge.png
1,Yes,28.004781,-97.181575,Aransas Bay,img/s_bridge.png
1,Yes,28.014761,-97.2013,Aransas Bay,img/s_bridge.png
1,Yes,28.018728,-97.209347,Aransas Bay,img/s_bridge.png
1,Yes,28.019894,-97.119586,Aransas Bay,img/s_bridge.png
1,Yes,28.025797,-97.10745,Aransas Bay,img/s_bridge.png
0,No,28.029447,-97.081911,Aransas Bay,img/s_bridge.png
1,Yes,28.048142,-97.033322,Aransas Bay,img/s_bridge.png
1,Yes,28.049472,-97.031197,Aransas Bay,img/s_bridge.png
1,Yes,28.050022,-97.041803,Aransas Bay,img/s_bridge.png
0,No,28.053364,-97.068703,Aransas Bay,img/s_bridge.png
0,No,28.053633,-97.068928,Aransas Bay,img/s_bridge.png
0,No,28.094883,-97.213739,Aransas Bay,img/s_bridge.png
1,Yes,28.125236,-97.016383,Aransas Bay,img/s_bridge.png
1,Yes,28.128489,-96.985856,Aransas Bay,img/s_bridge.png
0,No,28.130372,-96.986928,Aransas Bay,img/s_bridge.png
0,No,28.136378,-97.217842,Aransas Bay,img/s_bridge.png
1,Yes,28.139317,-97.208867,Aransas Bay,img/s_bridge.png
1,Yes,28.139392,-97.193986,Aransas Bay,img/s_bridge.png
0,No,28.141222,-97.222397,Aransas Bay,img/s_bridge.png
0,No,28.146642,-97.261464,Aransas Bay,img/s_bridge.png
0,No,28.146642,-97.261464,Aransas Bay,img/s_bridge.png
0,No,28.154017,-97.236297,Aransas Bay,img/s_bridge.png
0,No,28.160392,-97.255672,Aransas Bay,img/s_bridge.png
0,No,28.175989,-97.260267,Aransas Bay,img/s_bridge.png
1,Yes,28.217392,-96.987875,Aransas Bay,img/s_bridge.png
1,Yes,28.271506,-96.961886,Aransas Bay,img/s_bridge.png
0,No,28.300558,-97.134622,Aransas Bay,img/s_bridge.png
1,Yes,28.303822,-97.112364,Aransas Bay,img/s_bridge.png
0,No,28.310069,-97.068083,Aransas Bay,img/s_bridge.png
0,No,28.312783,-97.048208,Aransas Bay,img/s_bridge.png
0,No,28.313953,-97.039925,Aransas Bay,img/s_bridge.png
1,Yes,28.317697,-97.004297,Aransas Bay,img/s_bridge.png
1,Yes,28.319283,-96.937461,Aransas Bay,img/s_bridge.png
0,No,28.321353,-96.945936,Aransas Bay,img/s_bridge.png
0,No,28.32065,-96.916481,Aransas Bay,img/s_bridge.png
0,No,28.321217,-96.900258,Aransas Bay,img/s_bridge.png
0,No,28.322122,-96.929703,Aransas Bay,img/s_bridge.png
1,Yes,28.322569,-96.935256,Aransas Bay,img/s_bridge.png
1,Yes,28.324222,-96.935489,Aransas Bay,img/s_bridge.png
0,No,28.335414,-96.891739,Aransas Bay,img/s_bridge.png
0,No,28.33685,-96.930428,Aransas Bay,img/s_bridge.png
0,No,28.335606,-96.875389,Aransas Bay,img/s_bridge.png
0,No,28.335667,-96.869214,Aransas Bay,img/s_bridge.png
0,No,28.347311,-96.926261,Aransas Bay,img/s_bridge.png
0,No,28.349986,-96.891958,Aransas Bay,img/s_bridge.png
0,No,28.350167,-96.875664,Aransas Bay,img/s_bridge.png
0,No,28.350303,-96.863325,Aransas Bay,img/s_bridge.png
0,No,28.363278,-96.919908,Aransas Bay,img/s_bridge.png
0,No,28.36455,-96.892131,Aransas Bay,img/s_bridge.png
0,No,28.364992,-96.860733,Aransas Bay,img/s_bridge.png
0,No,28.365047,-96.848975,Aransas Bay,img/s_bridge.png
0,No,28.373558,-96.884542,Aransas Bay,img/s_bridge.png
0,No,28.376467,-96.912514,Aransas Bay,img/s_bridge.png
0,No,28.376772,-96.914572,Aransas Bay,img/s_bridge.png
0,No,28.383367,-96.91195,Aransas Bay,img/s_bridge.png
1,Yes,28.411342,-97.164225,Aransas Bay,img/s_bridge.png
1,Yes,28.411669,-97.164353,Aransas Bay,img/s_bridge.png
0,No,28.423233,-97.151536,Aransas Bay,img/s_bridge.png
0,No,28.423394,-97.151786,Aransas Bay,img/s_bridge.png
0,No,28.440556,-97.132978,Aransas Bay,img/s_bridge.png
0,No,28.452197,-97.120356,Aransas Bay,img/s_bridge.png
0,No,28.452456,-97.120611,Aransas Bay,img/s_bridge.png
0,No,28.460583,-97.11135,Aransas Bay,img/s_bridge.png
0,No,28.460775,-97.111672,Aransas Bay,img/s_bridge.png
0,No,28.471983,-97.099125,Aransas Bay,img/s_bridge.png
0,No,28.472192,-97.099394,Aransas Bay,img/s_bridge.png
0,No,28.479525,-97.091,Aransas Bay,img/s_bridge.png
0,No,28.4797,-97.091297,Aransas Bay,img/s_bridge.png
