OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,93XS,Brazoria,Richwood,Joseph Ross Scherdin,Pr,Montgomery County,Austin-Oyster,1,Yes,29.081078056300001,-95.382716666400000,Austin-Oyster,img/airports.png
-1,LBX,Brazoria,Angleton/Lake Jackson,Texas Gulf Coast Rgnl,Pu,Montgomery County,Austin-Oyster,0,No,29.108638889800002,-95.462083332700004,Austin-Oyster,img/airports.png
-1,7R9,Brazoria,Angleton,Bailes,Pr,Montgomery County,Austin-Oyster,0,No,29.165055556100000,-95.401083333499997,Austin-Oyster,img/airports.png
-1,2XA2,Brazoria,Danbury,Knape,Pr,Montgomery County,Austin-Oyster,0,No,29.220422223700002,-95.310880555500006,Austin-Oyster,img/airports.png
-1,TE77,Brazoria,Angleton,Clover Lake Farms,Pr,Montgomery County,Austin-Oyster,0,No,29.233741667499999,-95.476700000099996,Austin-Oyster,img/airports.png
-1,07TA,Brazoria,Danbury,Salaika Aviation,Pr,Montgomery County,Austin-Oyster,0,No,29.240518334200001,-95.344658333200002,Austin-Oyster,img/airports.png
-1,81D,Brazoria,Angleton,Flyin Tiger,Pr,Montgomery County,Austin-Oyster,0,No,29.264967167999998,-95.412570055600000,Austin-Oyster,img/airports.png
-1,77XS,Brazoria,Danbury,Garrett Ranch,Pr,Montgomery County,Austin-Oyster,1,Yes,29.287184167300001,-95.359659167000004,Austin-Oyster,img/airports.png
-1,TE88,Houston,Rosharon,Bb Airpark,Pr,Montgomery County,Austin-Oyster,0,No,29.356941667299999,-95.459402778400005,Austin-Oyster,img/airports.png
-1,AXH,Fort Bend,Houston,Houston-Southwest,Pr,Montgomery County,Austin-Oyster,0,No,29.506138890300001,-95.476916665999994,Austin-Oyster,img/airports.png
-1,SGR,Fort Bend,Houston,Sugar Land Rgnl,Pu,Montgomery County,Austin-Oyster,0,No,29.622250000800001,-95.656527778200001,Austin-Oyster,img/airports.png
-1,94XS,Fort Bend,Richmond,Heritage Ranch,Pr,Montgomery County,Austin-Oyster,0,No,29.654401112199999,-95.829395833700005,Austin-Oyster,img/airports.png
-1,X09,Fort Bend,Fulshear,Covey Trails,Pr,Montgomery County,Austin-Oyster,0,No,29.690083333899999,-95.840473611099995,Austin-Oyster,img/airports.png
