OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,,,,,,,0,No,28.967099999999999,-95.333500000000001,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,28.978100000000001,-95.343900000000005,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,28.978600000000000,-95.311899999999994,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.002600000000001,-95.384100000000004,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.007500000000000,-95.394499999999994,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.007600000000000,-95.395700000000005,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.011299999999999,-95.309600000000003,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.011900000000001,-95.406400000000005,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.012799999999999,-95.383600000000001,Austin-Oyster,img/antenna.png
-1,,,,,,,,1,Yes,29.026199999999999,-95.189300000000003,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.057500000000001,-95.425799999999995,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.062999999999999,-95.409899999999993,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.067100000000000,-95.319900000000004,Austin-Oyster,img/antenna.png
-1,,,,,,,,1,Yes,29.074200000000001,-95.129099999999994,Austin-Oyster,img/antenna.png
-1,,,,,,,,1,Yes,29.084299999999999,-95.433700000000002,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.091899999999999,-95.481899999999996,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.109600000000000,-95.459400000000002,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.124199999999998,-95.377799999999993,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.125000000000000,-95.356899999999996,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.135000000000002,-95.416100000000000,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.154599999999999,-95.432199999999995,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.158400000000000,-95.432800000000000,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.158400000000000,-95.432699999999997,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.161799999999999,-95.409499999999994,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.164100000000001,-95.420199999999994,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.164200000000001,-95.440299999999993,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.164899999999999,-95.414599999999993,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.165299999999998,-95.440899999999999,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.167100000000001,-95.439899999999994,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.184999999999999,-95.407499999999999,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.185600000000001,-95.442599999999999,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.191900000000000,-95.292199999999994,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.193100000000001,-95.445599999999999,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.197199999999999,-95.377200000000002,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.198100000000000,-95.514899999999997,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.214099999999998,-95.431100000000001,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.214400000000001,-95.439099999999996,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.224299999999999,-95.335099999999997,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.226099999999999,-95.427800000000005,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.227900000000002,-95.488699999999994,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.230300000000000,-95.439200000000000,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.243900000000000,-95.408900000000003,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.276100000000000,-95.379499999999993,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.317200000000000,-95.438900000000004,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.318899999999999,-95.438999999999993,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.326400000000000,-95.548900000000003,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.326699999999999,-95.551100000000005,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.326699999999999,-95.549999999999997,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.326899999999998,-95.549999999999997,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.326899999999998,-95.548900000000003,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.327200000000001,-95.551100000000005,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.350600000000000,-95.430400000000006,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.355100000000000,-95.533500000000004,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.366700000000002,-95.438000000000002,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.477200000000000,-95.474999999999994,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.493099999999998,-95.491100000000003,Austin-Oyster,img/antenna.png
-1,,,,,,,,1,Yes,29.500599999999999,-95.465299999999999,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.500800000000002,-95.511899999999997,Austin-Oyster,img/antenna.png
-1,,,,,,,,1,Yes,29.501300000000001,-95.467100000000002,Austin-Oyster,img/antenna.png
-1,,,,,,,,1,Yes,29.502800000000001,-95.493899999999996,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.504899999999999,-95.476399999999998,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.505600000000001,-95.476699999999994,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.510999999999999,-95.508899999999997,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.524999999999999,-95.516099999999994,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.525500000000001,-95.511899999999997,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.525500000000001,-95.484200000000001,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.535299999999999,-95.498599999999996,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.581399999999999,-95.566699999999997,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.596699999999998,-95.557000000000002,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.597300000000001,-95.544600000000003,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.608899999999998,-95.569000000000003,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.619700000000002,-95.630799999999994,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.622399999999999,-95.639200000000002,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.629600000000000,-95.701800000000006,Austin-Oyster,img/antenna.png
-1,,,,,,,,0,No,29.631900000000002,-95.618799999999993,Austin-Oyster,img/antenna.png
