OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,BRAZORIA,FREEPORT,,,,,0,No,28.942803399999999,-95.299545899999998,Austin-Oyster,img/ems.png
-1,,BRAZORIA,FREEPORT,,,,,0,No,28.947726500000002,-95.345448000000005,Austin-Oyster,img/ems.png
-1,,BRAZORIA,CLUTE,,,,,0,No,29.028960800000000,-95.397603599999997,Austin-Oyster,img/ems.png
-1,,BRAZORIA,LAKE JACKSON,,,,,0,No,29.037009600000001,-95.447835999999995,Austin-Oyster,img/ems.png
-1,,BRAZORIA,ANGLETON,,,,,0,No,29.163351599999999,-95.425192800000005,Austin-Oyster,img/ems.png
-1,,BRAZORIA,DANBURY,,,,,0,No,29.225168900000000,-95.348487700000007,Austin-Oyster,img/ems.png
-1,,FORT BEND,MISSOURI CITY,,,,,0,No,29.534180400000000,-95.535664400000002,Austin-Oyster,img/ems.png
-1,,FORT BEND,MISSOURI CITY,,,,,0,No,29.582145499999999,-95.567346000000001,Austin-Oyster,img/ems.png
-1,,FORT BEND,STAFFORD,,,,,0,No,29.609879899999999,-95.564162699999997,Austin-Oyster,img/ems.png
-1,,FORT BEND,STAFFORD,,,,,0,No,29.614906099999999,-95.562549899999993,Austin-Oyster,img/ems.png
