OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,BRAZORIA,LAKE JACKSON,,,,,0,No,29.045027071000000,-95.427021417999995,Austin-Oyster,img/private_schools.png
-1,,BRAZORIA,RICHWOOD,,,,,0,No,29.072290755000001,-95.410606246000000,Austin-Oyster,img/private_schools.png
-1,,BRAZORIA,ANGLETON,,,,,0,No,29.198421505999999,-95.429954624000004,Austin-Oyster,img/private_schools.png
-1,,FORT BEND,MISSOURI CITY,,,,,0,No,29.581756189000000,-95.575404770999995,Austin-Oyster,img/private_schools.png
-1,,FORT BEND,MISSOURI CITY,,,,,0,No,29.587372101000000,-95.564830767000004,Austin-Oyster,img/private_schools.png
-1,,FORT BEND,MISSOURI CITY,,,,,0,No,29.599982428000001,-95.580296657000005,Austin-Oyster,img/private_schools.png
-1,,FORT BEND,MISSOURI CITY,,,,,0,No,29.601934467000000,-95.581479583000004,Austin-Oyster,img/private_schools.png
-1,,FORT BEND,SUGAR LAND,,,,,0,No,29.611196000000000,-95.634990000000002,Austin-Oyster,img/private_schools.png
-1,,FORT BEND,STAFFORD,,,,,0,No,29.614469669999998,-95.557388302999996,Austin-Oyster,img/private_schools.png
-1,,FORT BEND,STAFFORD,,,,,0,No,29.618413697000001,-95.581741571999999,Austin-Oyster,img/private_schools.png
-1,,FORT BEND,STAFFORD,,,,,0,No,29.618826781999999,-95.579134013000001,Austin-Oyster,img/private_schools.png
-1,,FORT BEND,SUGAR LAND,,,,,0,No,29.628620000000002,-95.632610999999997,Austin-Oyster,img/private_schools.png
-1,,FORT BEND,SUGAR LAND,,,,,0,No,29.630171956000002,-95.615227367000003,Austin-Oyster,img/private_schools.png
-1,,FORT BEND,SUGAR LAND,,,,,0,No,29.643637999999999,-95.653295000000000,Austin-Oyster,img/private_schools.png
-1,,FORT BEND,SUGAR LAND,,,,,0,No,29.654651955999999,-95.657541706999993,Austin-Oyster,img/private_schools.png
-1,,FORT BEND,RICHMOND,,,,,0,No,29.685362134999998,-95.780631032000002,Austin-Oyster,img/private_schools.png
