OID,NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,FIRST BAPTIST CHURCH,HIGHWAY 2004 & 288B,CLUTE,TX,77531,EVAC,OPEN,BRAZORIA,100,50,1,Yes,29.072474,-95.41077596,Austin-Oyster,img/shelters.png
-1,CHRIST LUTHERAN CHURCH,86 PLANTATION DR,LAKE JACKSON,TX,77566,EVAC,OPEN,BRAZORIA,400,200,0,No,29.022539,-95.43412105,Austin-Oyster,img/shelters.png
-1,BRAZOSWOOD HIGH SCHOOL,302 BRAZOSWOOD DR,LAKE JACKSON,TX,77566,EVAC,OPEN,BRAZORIA,400,900,0,No,29.026456,-95.41538077,Austin-Oyster,img/shelters.png
-1,GLADYS POLK ELEMENTARY,600 AUDUBON WOODS DR,RICHWOOD,TX,77531,POST,OPEN,BRAZORIA,0,116,1,Yes,29.063903,-95.41280326,Austin-Oyster,img/shelters.png
-1,T.W. OGG ELEMENTARY SCHOOL,208 LAZY LANE,CLUTE,TX,77531,EVAC,OPEN,BRAZORIA,400,200,0,No,29.023230,-95.41297572,Austin-Oyster,img/shelters.png
-1,BRAZOSPORT HIGH SCHOOL,1800 WEST SECOND ST,FREEPORT,TX,77541,EVAC,OPEN,BRAZORIA,400,560,0,No,28.959576,-95.37283717,Austin-Oyster,img/shelters.png
-1,O.M. ROBERTS ELEMENTARY,110 SOUTH CEDAR,LAKE JACKSON,TX,77566,POST,OPEN,BRAZORIA,0,117,0,No,29.020307,-95.43111172,Austin-Oyster,img/shelters.png
-1,MADGE GRIFFITH ELEMENTARY,101 LEXINGTON AVE,CLUTE,TX,77531,POST,OPEN,BRAZORIA,0,116,0,No,29.043990,-95.4071283,Austin-Oyster,img/shelters.png
-1,SUGAR LAND COMMUNITY CENTER,226 MATLAGE WAY,SUGAR LAND,TX,77478,BOTH,OPEN,FORT BEND,300,150,0,No,29.617257,-95.63739856,Austin-Oyster,img/shelters.png
-1,FREEPORT INTERMEDIATE SCHOOL,1815 W FOURTH ST,FREEPORT,TX,77541,POST,OPEN,BRAZORIA,0,372,0,No,28.954629,-95.37346388,Austin-Oyster,img/shelters.png
-1,LAKE JACKSON INTERMEDIATE SCHOOL,100 OYSTER CREEK DR,LAKE JACKSON,TX,77566,POST,OPEN,BRAZORIA,0,412,0,No,29.044249,-95.44280125,Austin-Oyster,img/shelters.png
-1,OA. FLEMING ELEMENTARY,431 W FOURTH STREET,FREEPORT,TX,77541,POST,OPEN,BRAZORIA,0,83,0,No,28.948671,-95.35212779,Austin-Oyster,img/shelters.png
-1,ELIZABET NEY ELEMENTARY,308 WINDING WAY,LAKE JACKSON,TX,77566,POST,OPEN,BRAZORIA,0,58,0,No,29.037070,-95.44046197,Austin-Oyster,img/shelters.png
-1,RASCO MIDDLE SCHOOL,92 LAKE RD,LAKE JACKSON,TX,77566,POST,OPEN,BRAZORIA,0,196,0,No,29.029128,-95.45596,Austin-Oyster,img/shelters.png
-1,VELASCO ELEMENTARY,401 N GULF BOULEVARD,FREEPORT,TX,77541,POST,OPEN,BRAZORIA,0,181,0,No,28.964348,-95.36616791,Austin-Oyster,img/shelters.png
-1,LANIER MIDDLE SCHOOL,522 NORTH AVENUE B,FREEPORT,TX,77541,POST,OPEN,BRAZORIA,0,228,0,No,28.965107,-95.36499588,Austin-Oyster,img/shelters.png
-1,IRENE STERN COMMUNITY CENTER,6920 KATY FULSHEAR RD,FULSHEAR,TX,77441,BOTH,OPEN,FORT BEND,156,62,0,No,29.702571,-95.89111847,Austin-Oyster,img/shelters.png
-1,A.P. BEUTEL ELEMENTARY,300 LUGUSTRUM,LAKE JACKSON,TX,77566,POST,OPEN,BRAZORIA,0,76,0,No,29.034057,-95.43027288,Austin-Oyster,img/shelters.png
-1,CLUTE INTERMEDIATE SCHOOL,421 EAST MAIN ST,CLUTE,TX,77531,POST,OPEN,BRAZORIA,0,393,0,No,29.022413,-95.40057057,Austin-Oyster,img/shelters.png
-1,BESS BRANNEN ELEMENTARY,802 THAT WAY,LAKE JACKSON,TX,77566,POST,OPEN,BRAZORIA,0,111,0,No,29.061752,-95.4489683,Austin-Oyster,img/shelters.png
-1,MOSAIC COMMUNITY COVENANT CHURCH,4427 HIGHWAY 6,SUGAR LAND,TX,77478,POST,OPEN,FORT BEND,0,55,0,No,29.583597,-95.585273,Austin-Oyster,img/shelters.png
-1,SUGAR LAND FIRST UNITED METHODIST CHURCH,431 ELDRIDGE RD,SUGAR LAND,TX,77478,EVAC,OPEN,FORT BEND,225,112,0,No,29.629033,-95.61938298,Austin-Oyster,img/shelters.png
-1,FIRST BAPTIST CHURCH - ANGLETON,237 E LOCUST,ANGLETON,TX,77515,EVAC,OPEN,BRAZORIA,100,125,0,No,29.167939,-95.43007151,Austin-Oyster,img/shelters.png
