OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,FORT BEND,HOUSTON,,,,,0,No,29.591151499999999,-95.483545199999995,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,HOUSTON,,,,,0,No,29.624376300000002,-95.464811600000004,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,HOUSTON,,,,,0,No,29.630310699999999,-95.518878200000003,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,HOUSTON,,,,,0,No,29.631720500000000,-95.413658600000005,Buffalo-San Jacinto,img/fire.png
-1,,FORT BEND,STAFFORD,,,,,0,No,29.633069700000000,-95.558212699999999,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,HOUSTON,,,,,0,No,29.635042100000000,-95.229720700000001,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,HOUSTON,,,,,0,No,29.637576899999999,-95.356256999999999,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,PASADENA,,,,,0,No,29.640291000000001,-95.185318699999996,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,HOUSTON,,,,,0,No,29.641446400000000,-95.278465299999993,Buffalo-San Jacinto,img/fire.png
-1,,FORT BEND,MEADOWS PLACE,,,,,0,No,29.652824800000001,-95.582087599999994,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,HOUSTON,,,,,0,No,29.653364199999999,-95.481101499999994,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,HOUSTON,,,,,0,No,29.657443499999999,-95.280184399999996,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,HOUSTON,,,,,0,No,29.657964900000000,-95.511325900000003,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,HOUSTON,,,,,0,No,29.658021600000001,-95.389846700000007,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,SOUTH HOUSTON,,,,,0,No,29.663898799999998,-95.220148300000005,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,SOUTH HOUSTON,,,,,0,No,29.665504599999998,-95.238905299999999,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,HOUSTON`,,,,,0,No,29.670411699999999,-95.432829200000000,Buffalo-San Jacinto,img/fire.png
-1,,FORT BEND,SUGARLAND,,,,,0,No,29.671212100000002,-95.632345900000004,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,HOUSTON,,,,,0,No,29.673362699999998,-95.570800199999994,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,HOUSTON,,,,,0,No,29.674121199999998,-95.338032900000002,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,LA PORTE,,,,,0,No,29.674974400000000,-95.046923600000000,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,HOUSTON,,,,,0,No,29.677042400000001,-95.528774600000006,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,LA PORTE,,,,,0,No,29.681155700000001,-94.984353299999995,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,HOUSTON,,,,,0,No,29.681749799999999,-95.305012000000005,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,PASADENA,,,,,0,No,29.683835500000001,-95.207961800000007,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,HOUSTON,,,,,0,No,29.684044700000001,-95.253786000000005,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,HOUSTON,,,,,0,No,29.685904699999998,-95.364304799999999,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,PASADENA,,,,,0,No,29.692398300000001,-95.169768300000001,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,HOUSTON,,,,,0,No,29.697940100000000,-95.438713100000001,Buffalo-San Jacinto,img/fire.png
-1,,HARRIS,HOUSTON,,,,,0,No,29.699296300000000,-95.596534800000001,Buffalo-San Jacinto,img/fire.png
