FullName,OwnerType,FSSName,SFHA,In_SFHA,lat,lng,Watershed,logo_url
Durwood Greene Construction Company,Pr,Montgomery County,0,No,29.62805556,-95.55666667,Buffalo-San Jacinto,img/heliports.png
Lift Crane,Pr,Montgomery County,0,No,29.63717667,-95.45716333,Buffalo-San Jacinto,img/heliports.png
G H Hart Nr 2,Pr,Montgomery County,0,No,29.64189944,-95.553555,Buffalo-San Jacinto,img/heliports.png
Sugar Grove,Pr,Montgomery County,0,No,29.64356611,-95.58105583,Buffalo-San Jacinto,img/heliports.png
Pearce Industries,Pr,Montgomery County,0,No,29.65023195,-95.46049694,Buffalo-San Jacinto,img/heliports.png
Hl&P South Houston Helistop,Pr,Montgomery County,0,No,29.64217472,-95.21160056,Buffalo-San Jacinto,img/heliports.png
Police Helicopter Patrol,Pu,Montgomery County,0,No,29.64856389,-95.27410222,Buffalo-San Jacinto,img/heliports.png
Spl,Pr,Montgomery County,0,No,29.65912028,-95.42882917,Buffalo-San Jacinto,img/heliports.png
Houston Police Command Station,Pu,Montgomery County,0,No,29.65661972,-95.32021472,Buffalo-San Jacinto,img/heliports.png
Ball Park,Pr,Montgomery County,0,No,29.67467639,-95.61827889,Buffalo-San Jacinto,img/heliports.png
3321 Westside,Pr,Montgomery County,0,No,29.6605075,-95.20187806,Buffalo-San Jacinto,img/heliports.png
Gws Inc Construction,Pr,Montgomery County,0,No,29.68078611,-95.40132833,Buffalo-San Jacinto,img/heliports.png
Channel Two,Pr,Montgomery County,0,No,29.69023111,-95.52772083,Buffalo-San Jacinto,img/heliports.png
Sw Police Station Nr 4,Pu,Montgomery County,1,Yes,29.68856389,-95.45188528,Buffalo-San Jacinto,img/heliports.png
Shell I C,Pr,Montgomery County,0,No,29.69189695,-95.40688389,Buffalo-San Jacinto,img/heliports.png
Memorial Hospital,Pr,Montgomery County,0,No,29.68967333,-95.20104472,Buffalo-San Jacinto,img/heliports.png
Police,Pu,Montgomery County,0,No,29.69217333,-95.19604444,Buffalo-San Jacinto,img/heliports.png
Veterans Affairs Medical Center,Pu,Montgomery County,0,No,29.70023,-95.38743889,Buffalo-San Jacinto,img/heliports.png
St Luke's Episcopal Hospital,Pr,Montgomery County,0,No,29.70111111,-95.38583333,Buffalo-San Jacinto,img/heliports.png
Prudential,Pr,Montgomery County,1,Yes,29.70856333,-95.46132972,Buffalo-San Jacinto,img/heliports.png
Methodist Hospital Alkek,Pr,Montgomery County,0,No,29.7105075,-95.39882806,Buffalo-San Jacinto,img/heliports.png
Marine Consultants Inc,Pr,Montgomery County,0,No,29.7060625,-95.27410222,Buffalo-San Jacinto,img/heliports.png
Harris County Courthouse,Pu,Montgomery County,0,No,29.71606306,-95.47688583,Buffalo-San Jacinto,img/heliports.png
Rental Tools,Pr,Montgomery County,0,No,29.70133917,-95.07826333,Buffalo-San Jacinto,img/heliports.png
John S Dunn Helistop,Pr,Montgomery County,0,No,29.713285,-95.39549472,Buffalo-San Jacinto,img/heliports.png
Lewis Electric Apparatus Repair Inc,Pr,Montgomery County,0,No,29.71022889,-95.27854694,Buffalo-San Jacinto,img/heliports.png
B & S Warehouse,Pr,Montgomery County,0,No,29.72189667,-95.52216472,Buffalo-San Jacinto,img/heliports.png
Tenneco Lab Helistop,Pr,Montgomery County,0,No,29.7230075,-95.47105222,Buffalo-San Jacinto,img/heliports.png
Pin Oak Stables,Pr,Montgomery County,0,No,29.723285,-95.45799639,Buffalo-San Jacinto,img/heliports.png
West Houston Medical Center,Pr,Montgomery County,1,Yes,29.72856333,-95.59438917,Buffalo-San Jacinto,img/heliports.png
Horlock,Pr,Montgomery County,0,No,29.72495167,-95.46105194,Buffalo-San Jacinto,img/heliports.png
Graco Mechanical Inc,Pr,Montgomery County,0,No,29.72689611,-95.483275,Buffalo-San Jacinto,img/heliports.png
Ktrk Tv Station,Pr,Montgomery County,0,No,29.72550722,-95.42966222,Buffalo-San Jacinto,img/heliports.png
Shell Deer Park Refinery,Pr,Montgomery County,1,Yes,29.71508333,-95.14400833,Buffalo-San Jacinto,img/heliports.png
Kriv Fox 26 Television,Pr,Montgomery County,0,No,29.72772222,-95.44716667,Buffalo-San Jacinto,img/heliports.png
Post Oak Central,Pr,Montgomery County,0,No,29.72911833,-95.46466306,Buffalo-San Jacinto,img/heliports.png
First Bank Plaza Garage,Pr,Montgomery County,0,No,29.73439611,-95.50077528,Buffalo-San Jacinto,img/heliports.png
Westchase,Pr,Montgomery County,0,No,29.73634056,-95.54744333,Buffalo-San Jacinto,img/heliports.png
Uscg Port Safety Station,Mn,Montgomery County,1,Yes,29.72856167,-95.25687944,Buffalo-San Jacinto,img/heliports.png
Transco Tower Garage,Pr,Montgomery County,0,No,29.73689583,-95.4616075,Buffalo-San Jacinto,img/heliports.png
