OBJECTID,HUC12,NAME,lat,lng
31,120401040501,Upper Sims Bayou,29.623937365816857,-95.439542256769698
32,120401040402,Country Club Bayou-Brays Bayou,29.712376762377744,-95.384490131814118
35,120401040603,Upper Greens Bayou,29.942777405752736,-95.344923878334271
36,120401040702,Carpenters Bayou,29.838989339186696,-95.156546025278828
71,120401040102,Cane Island Branch,29.833725182771047,-95.852611296574025
77,120401040703,Vince Bayou-Buffalo Bayou,29.717395384089741,-95.199368909147779
79,120401040705,Highlands Reservoir-San Jacinto River,29.808434279118728,-95.057577621609937
116,120401040202,Bear Creek,29.863603440046745,-95.729696451430073
122,120401040301,Jersey Lake-Whiteoak Bayou,29.916181267451577,-95.593422873366876
123,120401040601,Headwaters Greens Bayou,29.967585070394762,-95.486784526984309
126,120401040606,Lower Greens Bayou,29.810935850409237,-95.199652389845880
127,120401040706,Goose Creek-Frontal Galveston Bay,29.737738627036038,-95.021076308025158
128,120401040605,Middle Greens Bayou,29.883276540579914,-95.245775255923263
130,120401040704,Jackson Bayou-San Jacinto River,29.902834153773256,-95.088420213821792
167,120401040201,Langham Creek,29.894760908289356,-95.683992310596636
212,120401040604,Halls Bayou,29.885103274096878,-95.364960898526590
213,120401040602,Garners Bayou,29.972308840380720,-95.270641149869107
255,120401040101,Willow Fork,29.826515232492056,-95.900472795882763
262,120401040305,City of Houston-Buffalo Bayou,29.751632344157429,-95.457474713187423
307,120401040103,Little Prong-Buffalo Bayou,29.742978233758549,-95.828257516171391
308,120401040104,Barker Reservoir-Buffalo Bayou,29.762546351033336,-95.735620507880071
313,120401040502,Lower Sims Bayou,29.661261612133728,-95.282258163983045
314,120401040302,Cole Creek-Whiteoak Bayou,29.871123931624197,-95.508130789204529
356,120401040303,Spring Branch-Buffalo Bayou,29.780105588801916,-95.563447937172498
357,120401040401,Keegans Bayou-Brays Bayou,29.686113814800763,-95.584814664365240
358,120401040203,South Mayde Creek,29.834160929483346,-95.732841878849570
362,120401040701,Hunting Bayou,29.790886790992658,-95.287516603408505
364,120401040304,Little Whiteoak Bayou-Whiteoak Bayou,29.818547225673967,-95.410165789719372
