City,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
HOUSTON,TEXAS PETROCHEMICALS,0,No,29.6981,-95.2547,Buffalo-San Jacinto,img/power_plants.png
HOUSTON,TECO CHP-1,0,No,29.70345,-95.39832,Buffalo-San Jacinto,img/power_plants.png
LA PORTE,SAN JACINTO STEAM ELECTRIC STATION,0,No,29.69484,-95.04062,Buffalo-San Jacinto,img/power_plants.png
HOUSTON,"THE METHODIST HOSPITAL, GAS TURBINE",0,No,29.709444,-95.400278,Buffalo-San Jacinto,img/power_plants.png
LAPORTE,EXELON LAPORTE GENERATING STATION,0,No,29.70301952,-95.07175122,Buffalo-San Jacinto,img/power_plants.png
HOUSTON,WESTHOLLOW TECHNOLOGY CENTER,0,No,29.72572733,-95.63823572,Buffalo-San Jacinto,img/power_plants.png
LAPORTE,DEER PARK PLANT,0,No,29.71,-95.11278,Buffalo-San Jacinto,img/power_plants.png
HOUSTON,RICE UNIVERSITY,0,No,29.72155683,-95.39982149,Buffalo-San Jacinto,img/power_plants.png
DEER PARK,DEER PARK ENERGY CENTER,0,No,29.71341,-95.13451,Buffalo-San Jacinto,img/power_plants.png
PASADENA,AES DEEPWATER,0,No,29.7171877,-95.22735048,Buffalo-San Jacinto,img/power_plants.png
HOUSTON,RHODIA HOUSTON PLANT,0,No,29.71977,-95.27056,Buffalo-San Jacinto,img/power_plants.png
PASADENA,CHANNEL ENERGY CENTER LLC,0,No,29.7189,-95.2319,Buffalo-San Jacinto,img/power_plants.png
PASADENA,PASADENA,0,No,29.71817796,-95.19084997,Buffalo-San Jacinto,img/power_plants.png
PASADENA,PRSI FCC GENERATOR,0,No,29.72141209,-95.21024727,Buffalo-San Jacinto,img/power_plants.png
PASADENA,PASADENA COGENERATION,0,No,29.72496601,-95.17674183,Buffalo-San Jacinto,img/power_plants.png
DEER PARK,SHELL DEER PARK,0,No,29.72319,-95.12886,Buffalo-San Jacinto,img/power_plants.png
LAPORTE,SAM BERTRON,0,No,29.72678,-95.05983,Buffalo-San Jacinto,img/power_plants.png
HOUSTON,HOUSTON CHEMICAL COMPLEX BATTLEGROUND,0,No,29.7314,-95.0839,Buffalo-San Jacinto,img/power_plants.png
PASADENA,RENTECH NITROGEN PASADENA COGENERATION,0,No,29.739444,-95.194722,Buffalo-San Jacinto,img/power_plants.png
BAYTOWN,EXXONMOBIL BAYTOWN REFINERY,0,No,29.74362144,-95.00220548,Buffalo-San Jacinto,img/power_plants.png
BAYTOWN,EXXONMOBIL BAYTOWN TURBINE,0,No,29.75812777,-95.01704537,Buffalo-San Jacinto,img/power_plants.png
HOUSTON,HELIOS PLAZA CHP PLANT,0,No,29.783333,-95.633333,Buffalo-San Jacinto,img/power_plants.png
HOUSTON,BLUEBONNET,0,No,29.81110457,-95.25423788,Buffalo-San Jacinto,img/power_plants.png
HOUSTON,GREENS BAYOU,0,No,29.81907815,-95.22230439,Buffalo-San Jacinto,img/power_plants.png
CHANNELVIEW,OPTIM ENERGY ALTURA COGEN LLC,0,No,29.81587157,-95.10907202,Buffalo-San Jacinto,img/power_plants.png
CHANNELVIEW,CHANNELVIEW COGENERATION PLANT,0,No,29.83703355,-95.1214789,Buffalo-San Jacinto,img/power_plants.png
HOUSTON,CPV PONDERA KING ENERGY CENTER,0,No,29.908889,-95.216944,Buffalo-San Jacinto,img/power_plants.png
HOUSTON,T H WHARTON,0,No,29.94141447,-95.5319325,Buffalo-San Jacinto,img/power_plants.png
HOUSTON,ATASCOSITA,0,No,29.95233801,-95.2424665,Buffalo-San Jacinto,img/power_plants.png
