NAME,ADDRESS,CITY,STATE,ZIP,TYPE,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
C E KING MIDDLE SCHOOL,8530 CE KING PARKWAY,HOUSTON,TX,77044,BOTH,HARRIS,1004,502,0,No,29.84843147,-95.21179954,Buffalo-San Jacinto,img/shelters.png
NEW MOUNT CALVARY BAPTIST CHURCH,6050 BELDART ST,HOUSTON,TX,77033,BOTH,HARRIS,60,30,1,Yes,29.66220073,-95.32110966,Buffalo-San Jacinto,img/shelters.png
GREATER MACEDONIA BAPTIST CHURCH,5510 WEST SAM HOUSTON PARKWAY NORTH,HOUSTON,TX,77041,POST,HARRIS,156,78,0,No,29.84655376,-95.56248094,Buffalo-San Jacinto,img/shelters.png
NEW HOPE BAPTIST CHURCH,6430 COURT RD,HOUSTON,TX,77053,POST,FORT BEND,800,400,0,No,29.59107014,-95.48291152,Buffalo-San Jacinto,img/shelters.png
GREATER ST. MATTHEW CHURCH - BOOKER FAMILY LIFE CTR,7701 JUTLAND,HOUSTON,TX,77033,POST,HARRIS,0,108,0,No,29.67341166,-95.34543227,Buffalo-San Jacinto,img/shelters.png
AUCHAN,6059 SOUTH LOOP EAST,HOUSTON,TX,77023,POST,HARRIS,0,2000,0,No,29.6957157,-95.32242562,Buffalo-San Jacinto,img/shelters.png
ST. FRANCIS XAVIER CATHOLIC CHURCH - PARISH HALL,4600 REED RD,HOUSTON,TX,77051,BOTH,HARRIS,270,135,0,No,29.65794587,-95.35768047,Buffalo-San Jacinto,img/shelters.png
ELDRIDGE PARK CONFERENCE CENTER,2511 ELDRIDGE ROAD,SUGAR LAND,TX,77478,POST,FORT BEND,0,25,0,No,29.65351732,-95.62191546,Buffalo-San Jacinto,img/shelters.png
SAINT PHILLIP PRESBYTERIAN CHURCH,4807 SAN FELIPE,HOUSTON,TX,77056,EVAC,HARRIS,200,100,0,No,29.74895507,-95.45908571,Buffalo-San Jacinto,img/shelters.png
ST JOHNS PRESBYTERIAN CHURCH,5020 WEST BELLFORT,HOUSTON,TX,77035,EVAC,HARRIS,200,100,1,Yes,29.66878149,-95.4669039,Buffalo-San Jacinto,img/shelters.png
NEW JERUSALEM MINISTRIES,1613 WEST LITTLE YORK ROAD,HOUSTON,TX,77091,EVAC,HARRIS,200,100,0,No,29.86241291,-95.43538201,Buffalo-San Jacinto,img/shelters.png
NORTHSIDE BAPTIST CHURCH,300 CEDAR BAYOU ROAD,BAYTOWN,TX,77520,BOTH,HARRIS,300,150,0,No,29.7488183,-94.96115034,Buffalo-San Jacinto,img/shelters.png
JERSEY VILLAGE BAPTIST CHURCH,16518 JERSEY DRIVE,HOUSTON,TX,77040,EVAC,HARRIS,300,150,0,No,29.88587724,-95.57503745,Buffalo-San Jacinto,img/shelters.png
CLEVELAND-RIPLEY HOUSE NEIGHBORHOOD CENTER,720 FAIRMONT PKWY,PASADENA,TX,77504,POST,HARRIS,0,100,0,No,29.65059887,-95.20145423,Buffalo-San Jacinto,img/shelters.png
ZION LUTHERAN CHURCH,3606 BEACHAMP,HOUSTON,TX,77009,EVAC,HARRIS,215,430,0,No,29.79014722,-95.37389904,Buffalo-San Jacinto,img/shelters.png
GRAY RECREATION CENTER,5200 EAST ROAD,BAYTOWN,TX,77521,EVAC,HARRIS,300,150,0,No,29.78157534,-94.96892514,Buffalo-San Jacinto,img/shelters.png
ST. MARKS UNITED METHODIST CHURCH,600 PECORE ST,HOUSTON,TX,77009,EVAC,HARRIS,300,200,0,No,29.79029353,-95.3775393,Buffalo-San Jacinto,img/shelters.png
ST. PAUL MISSIONARY BAPTIST CHURCH,8302 COLONIAL LANE,HOUSTON,TX,77051,BOTH,HARRIS,100,100,0,No,29.67174034,-95.36895016,Buffalo-San Jacinto,img/shelters.png
PINE FOREST BAPTIST,2900 ATASCOCITA,HUMBLE,TX,77396,EVAC,HARRIS,100,0,0,No,29.97264799,-95.22773006,Buffalo-San Jacinto,img/shelters.png
COPPERFIELD CHURCH,8350 HWY 6 NORTH,HOUSTON,TX,77095,BOTH,HARRIS,540,270,0,No,29.89839658,-95.63382646,Buffalo-San Jacinto,img/shelters.png
BAYTOWN COMMUNITY CENTER,2407 MARKET ST,BAYTOWN,TX,77520,EVAC,HARRIS,300,342,0,No,29.72721041,-94.9965359,Buffalo-San Jacinto,img/shelters.png
MISSOURI STREET CHURCH OF CHRIST,3400 S HWY 146,BAYTOWN,TX,77522,EVAC,HARRIS,150,75,1,Yes,29.71444492,-94.9953428,Buffalo-San Jacinto,img/shelters.png
CHRISTCHURCH BAPTIST FELLOWSHIP,12501 CHAMPION FOREST DRIVE,HOUSTON,TX,77066,EVAC,HARRIS,300,150,0,No,29.9734897,-95.50975786,Buffalo-San Jacinto,img/shelters.png
ST. STEPHEN BAPTIST CHURCH GYM,170 RITTENHOUSE,HOUSTON,TX,77076,POST,HARRIS,274,137,0,No,29.86347819,-95.37879509,Buffalo-San Jacinto,img/shelters.png
