OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,,,,,,,0,No,30.122578000400001,-95.230621999199997,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,0,No,30.122628000500001,-95.230838999800000,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,1,Yes,30.122750000500002,-95.231339000199995,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,0,No,30.129317000400000,-95.228869000000003,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,0,No,30.151608000700001,-95.217292000200004,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,0,No,30.154558000700000,-95.215461000199994,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,1,Yes,30.159642000800002,-95.211966999599994,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,0,No,30.159714001299999,-95.212207999800000,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,1,Yes,30.160000000699998,-95.212807999800006,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,0,No,30.171661000299999,-95.205125000099997,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,0,No,30.173578001199999,-95.203447000500006,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,1,Yes,30.200072000900001,-95.185116999900004,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,1,Yes,30.200256000600000,-95.185342000199995,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,1,Yes,30.200400000500000,-95.185767000400006,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,1,Yes,30.203058000500000,-95.183672000200005,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,0,No,30.208411000600002,-95.180063999799998,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,1,Yes,30.212139001400001,-95.176857999500001,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,1,Yes,30.232589001000001,-95.165119000199994,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,0,No,30.250631001100000,-95.151497000399999,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,0,No,30.260931000799999,-95.144099999399998,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,0,No,30.269039000900001,-95.138827999800000,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,0,No,30.271294000899999,-95.137041999600001,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,0,No,30.515942000300001,-95.490936000299996,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,0,No,30.515942000300001,-95.490936000299996,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,0,No,30.515967001300002,-95.491163999299999,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,1,Yes,30.534025001200000,-95.496813999699995,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,0,No,30.535272001199999,-95.494672000799994,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,1,Yes,30.537675001000000,-95.495483000500002,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,1,Yes,30.537897000899999,-95.495311000599997,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,1,Yes,30.547414000300002,-95.499596999900007,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,0,No,30.547436000400001,-95.497613999999999,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,1,Yes,30.549161000700000,-95.498266999899997,East Fork San Jacinto,img/p_bridge.png
-1,,,,,,,,1,Yes,30.549383000199999,-95.498097000100003,East Fork San Jacinto,img/p_bridge.png
