NAME,ADDRESS,CITY,STATE,ZIP,TYPE,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
ST MARY CATHOLIC CHURCH,702 E HOUSTON,CLEVELAND,TX,77327,EVAC,LIBERTY,300,55,0,No,30.34058076,-95.08064319,East Fork San Jacinto,img/shelters.png
FOREST GLEN CAMP,34 FOREST GLEN,HUNTSVILLE,TX,77340,EVAC,WALKER,50,0,0,No,30.66548426,-95.34897843,East Fork San Jacinto,img/shelters.png
MISSION NORTHEAST,22098 LOOP 494,NEW CANEY,TX,77357,EVAC,MONTGOMERY,300,0,0,No,30.12646668,-95.22211645,East Fork San Jacinto,img/shelters.png
CALVARY BAPTIST CHURCH,1135 US HIGHWAY 190,HUNTSVILLE,TX,77340,EVAC,WALKER,110,0,0,No,30.71074975,-95.50725227,East Fork San Jacinto,img/shelters.png
CALVARY BAPTIST CHURCH,816 NORTH BLAIR AVE,CLEVELAND,TX,77327,EVAC,LIBERTY,515,257,0,No,30.35104336,-95.08781597,East Fork San Jacinto,img/shelters.png
CANEY CREEK HIGH SCHOOL,13470 FM 1485 RD,CONROE,TX,77306,BOTH,MONTGOMERY,1267,633,0,No,30.25515008,-95.31310281,East Fork San Jacinto,img/shelters.png
FIRST BAPTIST CHURCH GRANGERLAND,15975 FM 3083,CONROE,TX,77302,BOTH,MONTGOMERY,131,65,0,No,30.25120565,-95.32784482,East Fork San Jacinto,img/shelters.png
GRANGERLAND COMMUNITY CENTER,15636 FM 3083,GRANGERLAND,TX,77302,BOTH,MONTGOMERY,70,35,1,Yes,30.25459839,-95.33441089,East Fork San Jacinto,img/shelters.png
EMC COMMUNITY CTR-YMCA,16401 FIRST STREET,SPLENDORA,TX,77372,BOTH,MONTGOMERY,210,105,0,No,30.206973,-95.178893,East Fork San Jacinto,img/shelters.png
BULL SALLAS PARK SHOW BARN,21675-C MCCLESKEY RD,NEW CANEY,TX,77357,BOTH,MONTGOMERY,735,367,0,No,30.14305774,-95.24207894,East Fork San Jacinto,img/shelters.png
SECURITY COMMUNITY CENTER,18760 HIGHWAY 105,CLEVELAND,TX,77328,BOTH,MONTGOMERY,70,35,0,No,30.3290869,-95.27744457,East Fork San Jacinto,img/shelters.png
BULL SALLAS PARK EMC FAIR ASSOC,21675-A MCCLESKY RD,NEW CANEY,TX,77357,BOTH,MONTGOMERY,104,52,0,No,30.14339324,-95.24026579,East Fork San Jacinto,img/shelters.png
BULL SALLAS PARK ARENA PAVILION,21675-B MCCLESKEY RD,NEW CANEY,TX,77357,BOTH,MONTGOMERY,75,37,0,No,30.1440357,-95.2417934,East Fork San Jacinto,img/shelters.png
BULL SALLAS NEW CANEY FRIENDSHIP CENTER,21679 MCCLESKEY RD,NEW CANEY,TX,77357,NOT AVAILABLE,MONTGOMERY,295,147,0,No,30.14308314,-95.23931528,East Fork San Jacinto,img/shelters.png
FIRST BAPTIST CHURCH,400 WEST HANSON STREET,CLEVELAND,TX,77327,EVAC,LIBERTY,890,445,0,No,30.34338106,-95.09254136,East Fork San Jacinto,img/shelters.png
EAST MONTGOMERY COUNTY SENIOR CENTER,21679 MCCLESKEY RD,NEW CANEY,TX,77357,BOTH,MONTGOMERY,150,75,0,No,30.14311169,-95.23953657,East Fork San Jacinto,img/shelters.png
NEW WAVERLY JUNIOR HIGH GYM,355 FRONT ST,NEW WAVERLY,TX,77358,POST,WALKER,241,120,0,No,30.546028,-95.47855,East Fork San Jacinto,img/shelters.png
