OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,,,,,,,1,Yes,29.827317000000001,-94.445705999300003,East Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.827494000300000,-94.445811000000006,East Galveston Bay,img/p_bridge.png
-1,,,,,,,,0,No,29.826975001000001,-94.432233000300002,East Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.827606001199999,-94.445850000700005,East Galveston Bay,img/p_bridge.png
-1,,,,,,,,0,No,29.827214001500000,-94.425257999699994,East Galveston Bay,img/p_bridge.png
-1,,,,,,,,0,No,29.827289001200000,-94.425364000200005,East Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.830158000899999,-94.482288999999994,East Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.830336000900001,-94.485611000500001,East Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.830622000700000,-94.485794000200002,East Galveston Bay,img/p_bridge.png
-1,,,,,,,,0,No,29.831150001299999,-94.496392000100002,East Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.830703000800000,-94.485736000100005,East Galveston Bay,img/p_bridge.png
-1,,,,,,,,0,No,29.831344001300000,-94.496696999099996,East Galveston Bay,img/p_bridge.png
-1,,,,,,,,0,No,29.834972000800001,-94.540607999800002,East Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.836297000700000,-94.565696999699995,East Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.836358001000001,-94.565521999200001,East Galveston Bay,img/p_bridge.png
