NAME,ADDRESS,CITY,STATE,ZIP,TYPE,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
JOHN H CHERRY ELEMENTARY SCHOOL,2619 EIGHTH STREET,BAY CITY,TX,77414,POST,MATAGORDA,0,100,0,No,28.98488313,-95.95850043,East Matagorda Bay,img/shelters.png
FIRST BAPTIST CHURCH OF BAY CITY,2321 AVENUE F,BAY CITY,TX,77414,POST,MATAGORDA,0,100,0,No,28.98004806,-95.96951865,East Matagorda Bay,img/shelters.png
TENIE HOLMES ELEMENTARY SCHOOL,3200 FIFTH STREET,BAY CITY,TX,77414,POST,MATAGORDA,0,185,0,No,28.98045324,-95.95147612,East Matagorda Bay,img/shelters.png
LINNIE ROBERTS ELEMENTARY SCHOOL,1212 WHITSON,BAY CITY,TX,77414,POST,MATAGORDA,0,175,0,No,28.96859879,-95.9752518,East Matagorda Bay,img/shelters.png
BOLING HIGH SCHOOL,407 ATLANTIC STREET,BOLING,TX,77420,POST,WHARTON,0,300,0,No,29.26433942,-95.9397216,East Matagorda Bay,img/shelters.png
EAST RUDD ELEMENTARY SCHOOL,128 5TH ST,VAN VLECK,TX,77482,POST,MATAGORDA,0,250,0,No,29.01591826,-95.88943418,East Matagorda Bay,img/shelters.png
SARGENT V. F. W. 2412,FM 457,BAY CITY,TX,77414,POST,MATAGORDA,0,50,1,Yes,28.86184983,-95.66549104,East Matagorda Bay,img/shelters.png
SIVELLS ELEMENTARY SCHOOL,1605 NORTH ALABAMA ROAD,WHARTON,TX,77488,POST,WHARTON,0,125,1,Yes,29.32126498,-96.08628577,East Matagorda Bay,img/shelters.png
MCALLISTER MIDDLE SCHOOL,4100 HIRAM BRANDON DRIVE,BAY CITY,TX,77414,POST,MATAGORDA,0,250,0,No,28.96071837,-95.97279474,East Matagorda Bay,img/shelters.png
SAINT PETER'S LUTHERN CHURCH,3000 9TH STREET,BAY CITY,TX,77414,POST,MATAGORDA,0,50,0,No,28.98522686,-95.95400996,East Matagorda Bay,img/shelters.png
SAINT MARKS EPISCOPAL CHURCH,2200 AVENUE E,BAY CITY,TX,77414,POST,MATAGORDA,0,50,0,No,28.98146621,-95.97152055,East Matagorda Bay,img/shelters.png
BAY CITY JR. HIGH,1507 SYCAMORE AVE,BAY CITY,TX,77414,POST,MATAGORDA,0,367,0,No,28.9894885,-95.95593734,East Matagorda Bay,img/shelters.png
NEW HOPE MISSIONARY,3300 AVE F,BAY CITY,TX,77414,POST,MATAGORDA,0,108,0,No,28.96976443,-95.97012849,East Matagorda Bay,img/shelters.png
PLEDGER COMMUNITY CENTER,17817 WOOD STREET,PLEDGER,TX,77468,POST,MATAGORDA,0,50,0,No,29.1832536,-95.90734112,East Matagorda Bay,img/shelters.png
WADSWORTH COMMUNITY CENTER,PO BOX 222,WADSWORTH,TX,77483,POST,MATAGORDA,0,50,0,No,28.8361941,-95.93210349,East Matagorda Bay,img/shelters.png
ST PAUL'S UNITED METHODIST CHURCH,3102 5 TH STREET,BAY CITY,TX,77414,BOTH,MATAGORDA,200,100,0,No,28.9808518,-95.95279899,East Matagorda Bay,img/shelters.png
KNIGHTS OF COLUMBUS - MATAGORDA,3070 HAMMAN ROAD,BAY CITY,TX,77414,POST,MATAGORDA,0,100,0,No,28.9548253,-95.9508807,East Matagorda Bay,img/shelters.png
