OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,,"Thompsons, TX",,,,CC1,0,No,29.472670999999998,-95.623018999999999,Lower Brazos,img/gen_units.png
-1,,,"Thompsons, TX",,,,2,0,No,29.478307999999998,-95.633788999999993,Lower Brazos,img/gen_units.png
-1,,,"Thompsons, TX",,,,3,0,No,29.478307999999998,-95.633788999999993,Lower Brazos,img/gen_units.png
-1,,,"Thompsons, TX",,,,4,0,No,29.478307999999998,-95.633788999999993,Lower Brazos,img/gen_units.png
-1,,,"Thompsons, TX",,,,5,0,No,29.478307999999998,-95.633788999999993,Lower Brazos,img/gen_units.png
-1,,,"Thompsons, TX",,,,6,0,No,29.478307999999998,-95.633788999999993,Lower Brazos,img/gen_units.png
-1,,,"Thompsons, TX",,,,7,0,No,29.478307999999998,-95.633788999999993,Lower Brazos,img/gen_units.png
-1,,,"Thompsons, TX",,,,8,0,No,29.478307999999998,-95.633788999999993,Lower Brazos,img/gen_units.png
-1,,,"Thompsons, TX",,,,GT1,0,No,29.478307999999998,-95.633788999999993,Lower Brazos,img/gen_units.png
-1,,,"Thompsons, TX",,,,GT2,0,No,29.478307999999998,-95.633788999999993,Lower Brazos,img/gen_units.png
-1,,,"Thompsons, TX",,,,1,0,No,29.478307999999998,-95.633788999999993,Lower Brazos,img/gen_units.png
