NAME,ADDRESS,CITY,STATE,ZIP,TYPE,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
AMERICAN LEGION POST 442,1630 MEYER,SEALY,TX,77474,EVAC,AUSTIN,305,152,0,No,29.76730652,-96.15337145,Lower Brazos,img/shelters.png
ST. JOHN'S LUTHERAN CHURCH,211 HICKORY ROAD,NEW ULM,TX,78950,POST,AUSTIN,195,97,0,No,29.89410103,-96.49105179,Lower Brazos,img/shelters.png
CAT SPRING AGRICULTURAL HALL,13035 HALL RD,CAT SPRING,TX,78933,BOTH,AUSTIN,250,125,0,No,29.86459907,-96.3226584,Lower Brazos,img/shelters.png
STS PETER AND PAUL CATHLIC CHURCH,936 SOUTH FRONT ST,BELLVILLE,TX,77418,POST,AUSTIN,0,74,0,No,29.9375017,-96.25207253,Lower Brazos,img/shelters.png
FIRST BAPTIST CHURCH,707 8TH STREET,SEALY,TX,77474,EVAC,AUSTIN,200,100,0,No,29.77523648,-96.16112098,Lower Brazos,img/shelters.png
SACRED HEART CATHOLIC CHURCH - FAMILY LIFE CENTER,507 S FOURTH ST,RICHMOND,TX,77469,POST,FORT BEND,300,150,0,No,29.58047658,-95.76027789,Lower Brazos,img/shelters.png
GREATER POWER BAPTIST CHURCH,6325 FM 2218,RICHMOND,TX,77469,BOTH,FORT BEND,200,100,0,No,29.49220354,-95.80293957,Lower Brazos,img/shelters.png
W.E. HILL COMMUNITY CENTER,1000 MAIN STREET,SEALY,TX,77474,EVAC,AUSTIN,188,94,0,No,29.77937924,-96.16735883,Lower Brazos,img/shelters.png
WEST COLUMBIA ELEMENTARY SCHOOL,711 SOUTH GRAY,WEST COLUMBIA,TX,77486,EVAC,BRAZORIA,300,150,0,No,29.13525816,-95.64443775,Lower Brazos,img/shelters.png
LAMAR CONSOLIDATED INDEPENDENT SCHOOL DISTRICT,3911 AVENUE I,ROSENBERG,TX,77471,EVAC,FORT BEND,600,300,0,No,29.55850868,-95.786494,Lower Brazos,img/shelters.png
FIRST BAPTIST CHURCH,502 S FIFTH ST,RICHMOND,TX,77469,EVAC,FORT BEND,100,150,0,No,29.57996276,-95.76176598,Lower Brazos,img/shelters.png
FIREMAN'S HALL,16522 HWY 159 WEST,INDUSTRY,TX,78944,EVAC,AUSTIN,312,0,0,No,29.97259239,-96.49710131,Lower Brazos,img/shelters.png
ST. JOHN'S EPISCOPAL CHURCH,515 MEYER ST,SEALY,TX,77474,EVAC,AUSTIN,64,32,0,No,29.77811241,-96.15696165,Lower Brazos,img/shelters.png
FIRST BAPTIST CHURCH HEMPSTEAD,445 MAIN ST,HEMPSTEAD,TX,77445,POST,WALLER,225,112,0,No,30.094996,-96.07235004,Lower Brazos,img/shelters.png
WALLER COUNTY FAIRGROUNDS,FM 359 SOUTH,HEMPSTEAD,TX,77445,BOTH,WALLER,400,200,0,No,30.0783017,-96.03789685,Lower Brazos,img/shelters.png
ST. JOHN'S UNITED CHURCH OF CHRIST,516 COLORADO ST,BURTON,TX,77835,POST,WASHINGTON,450,225,0,No,30.18354186,-96.5939919,Lower Brazos,img/shelters.png
CURRY'S CHAPEL BAPTIST CHURCH,4716  1/2 SOUTH ST,BROOKSHIRE,TX,77423,EVAC,WALLER,323,161,0,No,29.78240571,-95.96228342,Lower Brazos,img/shelters.png
