OBJECTID,HUC12,NAME,lat,lng
15,120903020107,Town of Nada-Colorado River,29.429726335502039,-96.343864788828910
16,120903020202,East Fork Jones Creek-Jones Creek,29.277717803433916,-96.242042428015623
17,120903020101,Ratliff Creek-Colorado River,29.694351760325503,-96.517873148327112
18,120903020206,Jennings Lake-Colorado River,29.017699238529076,-96.014549354868791
19,120903020201,Bosque Creek-Colorado River,29.286576850441350,-96.139677328146149
66,120903020207,Colorado River-Gulf of Mexico,28.815642993929089,-96.005084201674549
104,120903020106,Marys Branch-Colorado River,29.524049917070045,-96.386091217135913
105,120903020104,Middle Skull Creek,29.584959293236864,-96.555522434812474
194,120903020108,Robb Slough-Colorado River,29.382812624503060,-96.275137674464077
196,120903020204,Upper Blue Creek,29.181127196463024,-96.186384854277549
248,120903020205,Lower Blue Creek-Colorado River,29.101666449547054,-96.065737174830701
298,120903020203,Jarvis Creek-Colorado River,29.211039029028029,-96.072423555102944
342,120903020103,Upper Skull Creek,29.643082516644881,-96.659166866157932
343,120903020105,Lower Skull Creek,29.556410474064194,-96.454339405639018
344,120903020102,McKenzie Creek-Colorado River,29.632970496391351,-96.454444071436683
