OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,VICTORIA,VICTORIA,,,,VICTORIA POLICE DEPARTMENT,0,No,28.797202500000001,-97.007541799999998,Lower Guadalupe,img/police.png
-1,,VICTORIA,VICTORIA,,,,VICTORIA COUNTY CONSTABLE - PRECINCT 2,0,No,28.799839400000000,-97.007258699999994,Lower Guadalupe,img/police.png
-1,,VICTORIA,VICTORIA,,,,VICTORIA COUNTY CONSTABLE - PRECINCT 1,0,No,28.799841499999999,-97.007253800000001,Lower Guadalupe,img/police.png
-1,,VICTORIA,VICTORIA,,,,VICTORIA COUNTY CONSTABLE - PRECINCT 4,0,No,28.799841600000001,-97.007255799999996,Lower Guadalupe,img/police.png
-1,,VICTORIA,VICTORIA,,,,VICTORIA COUNTY CONSTABLE - PRECINCT 3,0,No,28.799844000000000,-97.007255999999998,Lower Guadalupe,img/police.png
-1,,VICTORIA,VICTORIA,,,,VICTORIA COUNTY SHERIFFS OFFICE / VICTORIA COUNTY JAIL,0,No,28.800279799999998,-97.008506499999996,Lower Guadalupe,img/police.png
-1,,VICTORIA,VICTORIA,,,,TEXAS DEPARTMENT OF PUBLIC SAFETY - HIGHWAY PATROL REGION 3 DISTRICT A SERGEANT 0 AREA 4,0,No,28.875894700000000,-96.996875500000002,Lower Guadalupe,img/police.png
-1,,DE WITT,YORKTOWN,,,,YORKTOWN POLICE DEPARTMENT,0,No,28.982202099999999,-97.499037500000000,Lower Guadalupe,img/police.png
-1,,DE WITT,CUERO,,,,CUERO POLICE DEPARTMENT,0,No,29.089677600000002,-97.290044100000003,Lower Guadalupe,img/police.png
-1,,DE WITT,CUERO,,,,DEWITT COUNTY CONSTABLE - PRECINCT 1,0,No,29.092395000000000,-97.288440600000001,Lower Guadalupe,img/police.png
-1,,DE WITT,CUERO,,,,DE WITT COUNTY SHERIFFS OFFICE / DE WITT COUNTY JAIL,0,No,29.092395499999999,-97.288442099999997,Lower Guadalupe,img/police.png
-1,,DE WITT,CUERO,,,,DEWITT COUNTY CONSTABLE - PRECINCT 2,0,No,29.092397600000002,-97.288441199999994,Lower Guadalupe,img/police.png
-1,,DE WITT,CUERO,,,,TEXAS DEPARTMENT OF PUBLIC SAFETY - HIGHWAY PATROL REGION 3 DISTRICT A SERGEANT 0 AREA 7,0,No,29.092398700000000,-97.288441500000005,Lower Guadalupe,img/police.png
