NAME,ADDRESS,CITY,STATE,ZIP,TYPE,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
PATTI WELDER MIDDLE SCHOOL,1604 E NORTH ST,VICTORIA,TX,77901,POST,VICTORIA,0,320,0,No,28.80008676,-96.98846701,Lower Guadalupe,img/shelters.png
HOWELL MIDDLE SCHOOL,2502 FANNIN,VICTORIA,TX,77901,POST,VICTORIA,0,300,0,No,28.83736506,-96.98649264,Lower Guadalupe,img/shelters.png
CHANDLER ELEMENTARY SCHOOL,5105 GUY GRANT ROAD,VICTORIA,TX,77904,POST,VICTORIA,0,175,0,No,28.85133426,-96.99359194,Lower Guadalupe,img/shelters.png
FIRST UNITED METHODIST CHURCH,407 NORTH BRIDGE STREET,VICTORIA,TX,77901,POST,VICTORIA,350,175,0,No,28.8028117,-97.0063066,Lower Guadalupe,img/shelters.png
CUERO INTERMEDIATE SCHOOL,502 PARK HEIGHTS,CUERO,TX,77954,POST,DEWITT,210,105,0,No,29.09294303,-97.27533546,Lower Guadalupe,img/shelters.png
VICKERS ELEMENTARY SCHOOL,708 GLASCOW STREET,VICTORIA,TX,77904,POST,VICTORIA,0,150,0,No,28.88098639,-97.00404186,Lower Guadalupe,img/shelters.png
VICTORIA COMMUNITY CENTER,2905 E NORTH,VICTORIA,TX,77901,POST,VICTORIA,0,1000,0,No,28.79412864,-96.97753992,Lower Guadalupe,img/shelters.png
ALOE ELEMENTARY SCHOOL,62 CHAPARRAL DR,VICTORIA,TX,77905,POST,VICTORIA,0,150,0,No,28.76875432,-97.07394209,Lower Guadalupe,img/shelters.png
FIRST UNITED METHODIST CHURCH,211 N CLINTON STREET,CUERO,TX,77954,BOTH,DEWITT,160,80,0,No,29.09090574,-97.28836964,Lower Guadalupe,img/shelters.png
HOLY FAMILY CATHOLIC CHURCH - ACTIVITY BUILDING,704 MALLETTE,VICTORIA,TX,77904,POST,VICTORIA,0,263,0,No,28.865874,-97.006249,Lower Guadalupe,img/shelters.png
HOPKINS ELEMENTARY,110 HOPKINS STREET,VICTORIA,TX,77901,POST,VICTORIA,0,79,0,No,28.7910306,-96.9956437,Lower Guadalupe,img/shelters.png
STROMAN MIDDLE SCHOOL-GYM/ CAFETERIA,3002 E NORTH ST,VICTORIA,TX,77901,POST,VICTORIA,0,540,0,No,28.81796227,-96.98885951,Lower Guadalupe,img/shelters.png
O'CONNOR ELEMENTARY SCHOOL,3402 BOBOLINK,VICTORIA,TX,77901,POST,VICTORIA,0,81,0,No,28.79894792,-96.96699586,Lower Guadalupe,img/shelters.png
F. W. GROSS ELEMENTARY SCHOOL,1208 SOUTH NAVARRO,VICTORIA,TX,77901,POST,VICTORIA,0,65,0,No,28.78818797,-97.00446422,Lower Guadalupe,img/shelters.png
