OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,,MCFADDIN,,,,,0,No,28.598479022999999,-97.047462881000001,,img/substations.png
-1,,,FANNIN,,,,,0,No,28.691647228000001,-97.233722201999996,,img/substations.png
-1,,,GUADALUPE,,,,,0,No,28.701594743000001,-96.948565020999993,,img/substations.png
-1,,,FANNIN,,,,,0,No,28.716821902000000,-97.212579606999995,,img/substations.png
-1,,,VICTORIA,,,,,1,Yes,28.786758109000001,-97.010442580000003,,img/substations.png
-1,,,ALOE,,,,,0,No,28.816395382000000,-97.074987715000006,,img/substations.png
-1,,,VICTORIA,,,,,1,Yes,28.841370017999999,-97.009970887999998,,img/substations.png
-1,,,NURSERY,,,,,0,No,28.871612206999998,-97.164484461000001,,img/substations.png
-1,,,NURSERY,,,,,1,Yes,28.893119207000002,-97.133049669000002,,img/substations.png
-1,,,NURSERY,,,,,1,Yes,28.894306823000001,-97.134063710999996,,img/substations.png
-1,,,NOT AVAILABLE,,,,,0,No,28.923573756000000,-97.599656866999993,,img/substations.png
-1,,,NURSERY,,,,,0,No,28.997465706000000,-97.148568753999996,,img/substations.png
-1,,,CUERO,,,,,0,No,29.107403428000001,-97.272423216000007,,img/substations.png
