OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,JEFFERSON,BEAUMONT,,,,,0,No,30.066760899999998,-94.090977499999994,Lower Neches,img/ems.png
-1,,JEFFERSON,BEAUMONT,,,,,0,No,30.077094200000001,-94.098782400000005,Lower Neches,img/ems.png
-1,,JEFFERSON,BEAUMONT,,,,,0,No,30.121347499999999,-94.126226299999999,Lower Neches,img/ems.png
-1,,ORANGE,VIDOR,,,,,0,No,30.125517800000001,-94.012398700000006,Lower Neches,img/ems.png
-1,,ORANGE,VIDOR,,,,,0,No,30.129408099999999,-94.014218000000000,Lower Neches,img/ems.png
-1,,ORANGE,VIDOR,,,,,0,No,30.188031500000001,-94.023304400000001,Lower Neches,img/ems.png
-1,,HARDIN,SILSBEE,,,,,1,Yes,30.323864000000000,-94.165560200000002,Lower Neches,img/ems.png
-1,,JASPER,JASPER,,,,,0,No,30.896677600000000,-93.993179600000005,Lower Neches,img/ems.png
-1,,JASPER,JASPER,,,,,0,No,30.906797800000000,-94.012564999999995,Lower Neches,img/ems.png
-1,,JASPER,JASPER,,,,,0,No,30.912546100000000,-93.991636600000007,Lower Neches,img/ems.png
