OBJECTID,HUC12,NAME,lat,lng
45,120200030403,Tenmile Creek,30.279847568710352,-94.039247853905295
46,120200030304,Turner Branch-Neches River,30.646702541289301,-94.107810102754001
47,120200030202,Little Wolf Creek-Wolf Creek,30.872024097933831,-94.312684134665062
48,120200030105,Shearwood Creek-Neches River,31.026157018431718,-94.260062075904045
49,120200030203,Push Creek-Rush Creek,30.815580881852270,-94.273438652271921
50,120200030205,Trotti Creek-Sandy Creek,30.960327858743710,-94.005435059080696
90,120200030103,Sugar Creek-Neches River,31.003670635291655,-94.391907278897747
91,120200030406,Union Canal-Neches River,30.077966298905608,-94.026071972943157
93,120200030401,The Cutoff-Neches River,30.317218495237398,-94.127479858708455
139,120200030102,Graham Creek,31.098936157777530,-94.390116202600609
141,120200030303,Walkers Branch of Mill Creek-Neches River,30.726428499175938,-94.090711689293016
142,120200030306,Maple Slough of Mill Creek-Neches River,30.525179635331938,-94.100093387200047
143,120200030206,Sandy Creek-B A Steinhagen Lake,30.842244679748205,-94.164995772137161
183,120200030302,Pickering Creek-Big Creek,30.796166739303601,-94.047097814812275
226,120200030201,Bean Creek-Wolf Creek,30.893985054866448,-94.371387766132443
228,120200030405,Bunns Canal-Neches River,30.131180030633971,-94.079924568663898
229,120200030305,Black Branch-Neches River,30.589223350277450,-94.086412795014439
230,120200030104,Big Creek-Neches River,31.094271360834682,-94.319276479126188
231,120200030407,Grays Bayou-Neches River,30.023536773703199,-93.929736866962799
275,120200030101,Billiams Creek,30.922497062089803,-94.473237203733902
276,120200030301,Big Walnut Run,30.858825443439514,-94.047904014758444
326,120200030402,Walnut Run-Neches River,30.205684816101439,-94.088389637971375
327,120200030308,Gum Slough of Mill Creek-Neches River,30.402997730460925,-94.070672900134184
328,120200030204,Pamplin Creek-Neches River,30.929770746422832,-94.227045901447184
377,120200030307,Black Creek-Neches River,30.459684439785121,-94.088131847306897
379,120200030404,Tiger Creek,30.211751761334767,-93.991351515759789
