NAME,ADDRESS,CITY,STATE,ZIP,TYPE,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
KATIE PITTMAN BUILDING,501 NORTH MAIN,VIDOR,TX,77662,POST,ORANGE,0,150,0,No,30.12959595,-94.01605384,Lower Neches,img/shelters.png
COMMUNITY CHURCH,720 S WHEELER,JASPER,TX,75951,BOTH,JASPER,560,280,0,No,30.91513392,-93.99264122,Lower Neches,img/shelters.png
LIGHTHOUSE CHURCH OF GOD IN CHRIST,1013 HELEN ST,JASPER,TX,75951,POST,JASPER,100,2000,0,No,30.91158633,-93.99779765,Lower Neches,img/shelters.png
MCDONALD HALL UNITED METHODIST CHURCH,670 N FIFTH ST,SILSBEE,TX,77656,POST,HARDIN,92,0,0,No,30.35333518,-94.17579446,Lower Neches,img/shelters.png
SAINT HENRY ACTIVITY BUILDING,475 ROUND BUNCA ROAD,BRIDGE CITY,TX,77611,POST,ORANGE,0,100,0,No,30.03217093,-93.8423203,Lower Neches,img/shelters.png
LAMAR MONTAGNE CENTER,4400 MLK PARKWAY,BEAUMONT,TX,77705,POST,JEFFERSON,0,490,0,No,30.04400659,-94.07060924,Lower Neches,img/shelters.png
E. J. M. SILSBEE MIDDLE SCHOOL,415 HWY 327 WEST,SILSBEE,TX,77656,POST,HARDIN,0,140,0,No,30.34570091,-94.18483288,Lower Neches,img/shelters.png
STERLING PRUITT CENTER,2930 GULF,BEAUMONT,TX,77703,POST,JEFFERSON,0,375,0,No,30.10624368,-94.11126359,Lower Neches,img/shelters.png
WOODCREST ELEMENTARY,1522 HEISLER,PORT NECHES,TX,77651,POST,JEFFERSON,0,237,0,No,29.99761408,-93.96233861,Lower Neches,img/shelters.png
PORT NECHES SR. CITIZENS CENTER,633 GRISBY,PORT NECHES,TX,77651,POST,JEFFERSON,0,720,0,No,29.99339006,-93.95309873,Lower Neches,img/shelters.png
LUCAS ELEMENTARY,1750 EAST LUCAS ST,BEAUMONT,TX,77703,POST,JEFFERSON,0,2414,0,No,30.12616924,-94.11488648,Lower Neches,img/shelters.png
PORT NECHES GROVES HIGH SCHOOL,1401 MERRIMAN,PORT NECHES,TX,77651,POST,JEFFERSON,0,200,0,No,29.98876037,-93.95335267,Lower Neches,img/shelters.png
OUR  LADY OF LOURDES,1600 NORTH MAIN,VIDOR,TX,77662,POST,ORANGE,0,200,0,No,30.14833419,-94.01640363,Lower Neches,img/shelters.png
DUNBAR ELEMENTARY SCHOOL,825 JACKSON STREET,BEAUMONT,TX,77701,POST,JEFFERSON,0,875,0,No,30.07074233,-94.0862608,Lower Neches,img/shelters.png
ST. MICHAEL CHURCH,HWY 190 WEST ROUT 7 PO BOX 135,JASPER,TX,75951,POST,JASPER,0,50,0,No,30.89457923,-94.04719355,Lower Neches,img/shelters.png
FIRST ASSEMBLY OF GOD,351 W GIBSON,JASPER,TX,75951,BOTH,JASPER,122,61,0,No,30.90736284,-94.00497248,Lower Neches,img/shelters.png
FRENCH ELEMENTARY,1900 POPE ST,BEAUMONT,TX,77703,POST,JEFFERSON,0,301,0,No,30.11044502,-94.11634605,Lower Neches,img/shelters.png
FRENCH ELEMENTARY,3525 CLEVELAND,BEAUMONT,TX,77703,POST,JEFFERSON,0,17,0,No,30.11390446,-94.12260081,Lower Neches,img/shelters.png
FAITH TEMPLE CHURCH OF GOD IN CHRIST,640 POLLARD STREET,JASPER,TX,75951,BOTH,JASPER,1,1,1,Yes,30.91738698,-93.99556939,Lower Neches,img/shelters.png
