OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,,GROVES,,,,,1,Yes,29.953801278000000,-93.882787527000005,,img/substations.png
-1,,,GROVES,,,,,0,No,29.961785674000001,-93.897224696999999,,img/substations.png
-1,,,GROVES,,,,,0,No,29.963332638000001,-93.893344146999993,,img/substations.png
-1,,,PORT NECHES,,,,,0,No,29.987362024999999,-93.960991007999993,,img/substations.png
-1,,,NEDERLAND,,,,,0,No,29.995090963999999,-93.984271852000006,,img/substations.png
-1,,,CENTRAL GARDENS,,,,,0,No,30.010021013999999,-94.028495699999993,,img/substations.png
-1,,,BRIDGE CITY,,,,,0,No,30.024429079000001,-93.879234643999993,,img/substations.png
-1,,,ROSE CITY,,,,,0,No,30.065176060999999,-94.049466041000002,,img/substations.png
-1,,,BEAUMONT,,,,,0,No,30.066566547000001,-94.078880169000001,,img/substations.png
-1,,,BEAUMONT,,,,,0,No,30.066607558000001,-94.077879762999999,,img/substations.png
-1,,,BEAUMONT,,,,,0,No,30.074651623000001,-94.099599445999999,,img/substations.png
-1,,,BEAUMONT,,,,,0,No,30.076271606999999,-94.110586283999993,,img/substations.png
-1,,,BRIDGE CITY,,,,,0,No,30.077873646000000,-93.888088834000001,,img/substations.png
-1,,,BRIDGE CITY,,,,,0,No,30.078243206000000,-93.888128739999999,,img/substations.png
-1,,,BEAUMONT,,,,,1,Yes,30.083935453999999,-94.074110286999996,,img/substations.png
-1,,,BEAUMONT,,,,,0,No,30.085460105999999,-94.096630970999996,,img/substations.png
-1,,,BEAUMONT,,,,,0,No,30.091293129000000,-94.108072553000000,,img/substations.png
-1,,,BEAUMONT,,,,,0,No,30.106861090999999,-94.119230090000002,,img/substations.png
-1,,,ROSE CITY,,,,,1,Yes,30.115397724000001,-94.038616243999996,,img/substations.png
-1,,,BEAUMONT,,,,,0,No,30.127471074999999,-94.138719229000003,,img/substations.png
-1,,,VIDOR,,,,,1,Yes,30.147889711000001,-94.017738760000000,,img/substations.png
-1,,,PINE FOREST,,,,,1,Yes,30.220299627999999,-94.023281431000001,,img/substations.png
-1,,,EVADALE,,,,,0,No,30.298571045999999,-94.060266345000002,,img/substations.png
-1,,,EVADALE,,,,,0,No,30.341360897000001,-94.069403421999993,,img/substations.png
-1,,,EVADALE,,,,,0,No,30.386505460999999,-94.030174172000002,,img/substations.png
-1,,,CURTIS,,,,,0,No,30.882529041000002,-94.104938441000002,,img/substations.png
-1,,,COLMESNEIL,,,,,0,No,30.883321837000000,-94.293659438000006,,img/substations.png
-1,,,JASPER,,,,,0,No,30.950805854999999,-94.000618457000002,,img/substations.png
