OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,ORANGE,BRIDGE CITY,,,,BRIDGE CITY POLICE DEPARTMENT,0,No,30.036381899999999,-93.829034699999994,Lower Sabine,img/police.png
-1,,ORANGE,BRIDGE CITY,,,,BRIDGE CITY INDEPENDENT SCHOOL DISTRICT POLICE DEPARTMENT,0,No,30.039916200000000,-93.824628000000004,Lower Sabine,img/police.png
-1,,ORANGE,ORANGE,,,,WEST ORANGE POLICE DEPARTMENT,0,No,30.084912700000000,-93.760716000000002,Lower Sabine,img/police.png
-1,,ORANGE,ORANGE,,,,ORANGE COUNTY CONSTABLE - PRECINCT 2,0,No,30.088424100000001,-93.773711000000006,Lower Sabine,img/police.png
-1,,ORANGE,ORANGE,,,,ORANGE COUNTY SHERIFF DEPARTMENT / ORANGE COUNTY JAIL,1,Yes,30.088538499999999,-93.736558299999999,Lower Sabine,img/police.png
-1,,ORANGE,ORANGE,,,,ORANGE COUNTY CONSTABLE - PRECINCT 1,1,Yes,30.089466399999999,-93.736565600000006,Lower Sabine,img/police.png
-1,,ORANGE,ORANGE,,,,ORANGE POLICE DEPARTMENT,1,Yes,30.091522800000000,-93.738152400000004,Lower Sabine,img/police.png
-1,,ORANGE,ORANGE,,,,ORANGE COUNTY CONSTABLE - PRECINCT 3,0,No,30.094749199999999,-93.757838000000007,Lower Sabine,img/police.png
-1,,ORANGE,ORANGE,,,,PINEHURST POLICE DEPARTMENT,0,No,30.104222600000000,-93.775918500000003,Lower Sabine,img/police.png
-1,,NEWTON,DEWEYVILLE,,,,NEWTON COUNTY CONSTABLE - PRECINCT 4,1,Yes,30.300890299999999,-93.748021100000003,Lower Sabine,img/police.png
-1,,JASPER,BUNA,,,,JASPER COUNTY CONSTABLE - PRECINCT 4,0,No,30.460134700000001,-93.961957100000006,Lower Sabine,img/police.png
-1,,JASPER,KIRBYVILLE,,,,KIRBYVILLE POLICE DEPARTMENT,0,No,30.659922600000002,-93.892955099999995,Lower Sabine,img/police.png
-1,,JASPER,KIRBYVILLE,,,,JASPER COUNTY CONSTABLE - PRECINCT 3,0,No,30.659929300000002,-93.892958399999998,Lower Sabine,img/police.png
-1,,NEWTON,NEWTON,,,,NEWTON COUNTY CONSTABLE - PRECINCT 1,0,No,30.728387000000001,-93.723765000000000,Lower Sabine,img/police.png
-1,,NEWTON,NEWTON,,,,NEWTON COUNTY SHERIFFS OFFICE / NEWTON COUNTY JAIL,0,No,30.847795300000001,-93.760475999999997,Lower Sabine,img/police.png
-1,,NEWTON,NEWTON,,,,NEWTON COUNTY CONSTABLE - PRECINCT 3,0,No,30.847796200000001,-93.760475900000003,Lower Sabine,img/police.png
-1,,NEWTON,NEWTON,,,,NEWTON POLICE DEPARTMENT,0,No,30.850602100000000,-93.761908899999995,Lower Sabine,img/police.png
-1,,NEWTON,WIERGATE,,,,NEWTON COUNTY CONSTABLE - PRECINCT 2,0,No,31.007895900000001,-93.707104299999997,Lower Sabine,img/police.png
