NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
NORTH ORANGE BAPTIST CHURCH/GYM,4775 NORTH 16TH STREET,ORANGE,TX,77632,POST,OPEN,ORANGE,0,250,0,No,30.13579094,-93.75048372,Lower Sabine,img/shelters.png
WINFREE BAPTIST CHURCH,19525 HIGHWAY 62 SOUTH,ORANGE,TX,77630,POST,OPEN,ORANGE,0,113,0,No,30.06549832,-93.82074755,Lower Sabine,img/shelters.png
FIRST BAPTIST CHURCH,HWY 62 S,BUNA,TX,77612,POST,OPEN,JASPER,48,0,0,No,30.42933466,-93.95869122,Lower Sabine,img/shelters.png
WEST ORANGE HIGH SCHOOL,1400 NEWTON STREET,ORANGE,TX,77630,POST,OPEN,ORANGE,0,219,0,No,30.07699594,-93.76630325,Lower Sabine,img/shelters.png
FIRST BAPTIST CHURCH OF ORANGE,602 WEST GREEN AVE,ORANGE,TX,77630,POST,OPEN,ORANGE,0,215,1,Yes,30.09366643,-93.7349934,Lower Sabine,img/shelters.png
WEST ORANGE MIDDLE SCHOOL,500 N 13TH STREET,ORANGE,TX,77630,POST,OPEN,ORANGE,0,293,1,Yes,30.09417158,-93.74380248,Lower Sabine,img/shelters.png
LANER STATE COLLEGE/ORANGE STUDENT CENTER,407 GREEN AVENUE,ORANGE,TX,77630,POST,OPEN,ORANGE,0,358,1,Yes,30.09278296,-93.73260371,Lower Sabine,img/shelters.png
GREATER SAINT PAUL CHRISTIAN FELLOWSHIP CHURCH,1704 N 4TH ST,ORANGE,TX,77630,POST,OPEN,ORANGE,0,250,0,No,30.10759956,-93.74428681,Lower Sabine,img/shelters.png
FIRST BAPTIST CHURCH OF ORANGEFIELD,9488 FM 105,ORANGE,TX,77630,POST,OPEN,ORANGE,0,30,0,No,30.0765641,-93.85845021,Lower Sabine,img/shelters.png
COMMUNITY CHRISTIAN CHURCH,1260 16TH STREET,ORANGE,TX,77630,POST,OPEN,ORANGE,0,150,0,No,30.1021095,-93.74737626,Lower Sabine,img/shelters.png
FIRST CHURCH OF NAZARENE,3810 N MLK DRIVE,ORANGE,TX,77632,POST,OPEN,ORANGE,0,150,1,Yes,30.12870001,-93.78575787,Lower Sabine,img/shelters.png
CHRISTIAN LIFE CENTER,201 MARGARETT ST,KIRBYVILLE,TX,75956,BOTH,OPEN,JASPER,250,125,0,No,30.66196419,-93.8942689,Lower Sabine,img/shelters.png
RED OAK SPRINGS,NEWTON COUNTY ROAD 3013,NEWTON,TX,75966,POST,OPEN,NEWTON,0,135,0,No,30.82804039,-93.7959385,Lower Sabine,img/shelters.png
BURTON BUILDING @ MCDONNELL BAPTIST CHURCH,2028 SOUTH AVE,ORANGE,TX,77630,POST,OPEN,ORANGE,0,100,1,Yes,30.09104287,-93.75273142,Lower Sabine,img/shelters.png
FIRST BAPTIST CHURCH OF DEWEYVILLE,CR 272,DEWEYVILLE,TX,77614,POST,OPEN,NEWTON,0,75,1,Yes,30.29639958,-93.7459027,Lower Sabine,img/shelters.png
ORANGE COUNTY COVENTION AND EXPO CENTER,11475 SH 1442,ORANGE,TX,77630,BOTH,OPEN,ORANGE,200,100,0,No,30.12090986,-93.8818373,Lower Sabine,img/shelters.png
FIRST UNITED METHODIST CHURCH,11929 HWY 12,MAURICEVILLE,TX,77626,BOTH,OPEN,ORANGE,340,170,0,No,30.21307164,-93.86711051,Lower Sabine,img/shelters.png
FIRST UNITED METHODIST CHURCH,MALLOY CENTER,ORANGE,TX,77630,POST,OPEN,ORANGE,0,115,1,Yes,30.09425976,-93.73518857,Lower Sabine,img/shelters.png
MC DONALD BAPTIST,2015 SIMS STREET,ORANGE,TX,77630,POST,OPEN,ORANGE,0,62,1,Yes,30.09104287,-93.75326441,Lower Sabine,img/shelters.png
UNITED CHRISTIAN FELLOWSHIP CHURCH,710 RUSK,NEWTON,TX,75966,BOTH,OPEN,NEWTON,100,50,1,Yes,30.84395101,-93.75935938,Lower Sabine,img/shelters.png
NEWTON COUNTY FAIRGROUNDS,LOOP 505 N,NEWTON,TX,75966,BOTH,OPEN,NEWTON,100,50,0,No,30.85774701,-93.75038648,Lower Sabine,img/shelters.png
ORANGE CHURCH OF GOD,1911 N 16TH STREET,ORANGE,TX,77630,BOTH,OPEN,ORANGE,350,175,0,No,30.11043847,-93.74808842,Lower Sabine,img/shelters.png
FIRST BAPTIST CHURCH OF KIRBYVILLE,105 N BARROW AVE,KIRBYVILLE,TX,75956,BOTH,OPEN,JASPER,150,75,0,No,30.66114528,-93.89658534,Lower Sabine,img/shelters.png
