OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,,WEST ORANGE,,,,,1,Yes,30.041195832000000,-93.749721105999996,,img/substations.png
-1,,,WEST ORANGE,,,,,1,Yes,30.049992744000001,-93.769031841000000,,img/substations.png
-1,,,WEST ORANGE,,,,,1,Yes,30.050340520999999,-93.774546786000002,,img/substations.png
-1,,,WEST ORANGE,,,,,1,Yes,30.050501892000000,-93.758684422000002,,img/substations.png
-1,,,WEST ORANGE,,,,,1,Yes,30.055729099000001,-93.756531574999997,,img/substations.png
-1,,,WEST ORANGE,,,,,0,No,30.058083531000001,-93.749218967999994,,img/substations.png
-1,,,WEST ORANGE,,,,,0,No,30.059839944000000,-93.751605901999994,,img/substations.png
-1,,,WEST ORANGE,,,,,0,No,30.075957061000000,-93.758451578999995,,img/substations.png
-1,,,ORANGE,,,,,1,Yes,30.090963632000001,-93.729332428999996,,img/substations.png
-1,,,PINEHURST,,,,,0,No,30.095206585000000,-93.790441235000003,,img/substations.png
-1,,,ORANGE,,,,,0,No,30.110724064999999,-93.748985336000004,,img/substations.png
-1,,,ORANGE,,,,,1,Yes,30.110916714999998,-93.742195424000002,,img/substations.png
-1,,,LITTLE CYPRESS,,,,,0,No,30.160405417000000,-93.767120477000006,,img/substations.png
-1,,,LITTLE CYPRESS,,,,,0,No,30.160537225999999,-93.766060835999994,,img/substations.png
-1,,,LITTLE CYPRESS,,,,,0,No,30.161248670999999,-93.798097601999999,,img/substations.png
-1,,,MAURICEVILLE,,,,,0,No,30.161985672000000,-93.840601415999998,,img/substations.png
-1,,,MAURICEVILLE,,,,,0,No,30.162610280999999,-93.840690644999995,,img/substations.png
-1,,,NOT AVAILABLE,,,,,0,No,30.164071389000000,-93.881989724999997,,img/substations.png
-1,,,LITTLE CYPRESS,,,,,0,No,30.217514465000001,-93.743882279000005,,img/substations.png
-1,,,DEWEYVILLE,,,,,1,Yes,30.259695763000000,-93.737855182999994,,img/substations.png
-1,,,DEWEYVILLE,,,,,1,Yes,30.266668159000002,-93.738664072000006,,img/substations.png
-1,,,DEWEYVILLE,,,,,0,No,30.276761998000001,-93.779685630000003,,img/substations.png
-1,,,BUNA,,,,,0,No,30.418904360999999,-93.950187083000003,,img/substations.png
-1,,,KIRBYVILLE,,,,,0,No,30.614598373000000,-93.876759296000003,,img/substations.png
-1,,,KIRBYVILLE,,,,,1,Yes,30.668358943000001,-93.891230027000006,,img/substations.png
-1,,,KIRBYVILLE,,,,,0,No,30.673097056000000,-93.890501614000001,,img/substations.png
-1,,,NOT AVAILABLE,,,,,0,No,30.721302991000002,-93.694790530999995,,img/substations.png
-1,,,MAGNOLIA SPRINGS,,,,,0,No,30.752609789000001,-93.978004560000002,,img/substations.png
-1,,,NEWTON,,,,,0,No,30.869912506999999,-93.787747730000007,,img/substations.png
-1,,,JASPER,,,,,0,No,30.930394178000000,-93.927299938000004,,img/substations.png
-1,,,BURR FERRY,,,,,0,No,31.142307494000001,-93.572485745999998,,img/substations.png
-1,,,TORO,,,,,0,No,31.173878559999999,-93.564651603000002,,img/substations.png
