OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,CHAMBERS,MONT BELVIEU,,,,Lower Trinity,0,No,29.833484515999999,-94.846998845000002,Lower Trinity,img/public_schools.png
-1,,CHAMBERS,MONT BELVIEU,,,,Lower Trinity,0,No,29.833582589999999,-94.846882965999995,Lower Trinity,img/public_schools.png
-1,,CHAMBERS,BAYTOWN,,,,Lower Trinity,0,No,29.834253774000000,-94.845044095000006,Lower Trinity,img/public_schools.png
-1,,CHAMBERS,MONT BELVIEU,,,,Lower Trinity,0,No,29.834352905999999,-94.844888702999995,Lower Trinity,img/public_schools.png
-1,,CHAMBERS,BAYTOWN,,,,Lower Trinity,0,No,29.836113323999999,-94.848706340999996,Lower Trinity,img/public_schools.png
-1,,CHAMBERS,MONT BELVIEU,,,,Lower Trinity,0,No,29.836157359000001,-94.848791637999994,Lower Trinity,img/public_schools.png
-1,,CHAMBERS,MONT BELVIEU,,,,Lower Trinity,0,No,29.836828489999998,-94.847072272000005,Lower Trinity,img/public_schools.png
-1,,CHAMBERS,MONT BELVIEU,,,,Lower Trinity,0,No,29.838315429000001,-94.850403772999996,Lower Trinity,img/public_schools.png
-1,,CHAMBERS,MONT BELVIEU,,,,Lower Trinity,0,No,29.838632440000001,-94.850126852000002,Lower Trinity,img/public_schools.png
-1,,CHAMBERS,MONT BELVIEU,,,,Lower Trinity,0,No,29.842570020000000,-94.851875719000006,Lower Trinity,img/public_schools.png
-1,,CHAMBERS,MONT BELVIEU,,,,Lower Trinity,0,No,29.842906435000000,-94.852104499999996,Lower Trinity,img/public_schools.png
-1,,LIBERTY,DEVERS,,,,Lower Trinity,0,No,30.026665518000001,-94.590942577000007,Lower Trinity,img/public_schools.png
-1,,LIBERTY,DEVERS,,,,Lower Trinity,0,No,30.026692589000000,-94.591109032000006,Lower Trinity,img/public_schools.png
-1,,LIBERTY,DEVERS,,,,Lower Trinity,0,No,30.026714746000000,-94.591033932000002,Lower Trinity,img/public_schools.png
-1,,LIBERTY,DAYTON,,,,Lower Trinity,0,No,30.031102000000001,-94.879379999999998,Lower Trinity,img/public_schools.png
-1,,LIBERTY,DAYTON,,,,Lower Trinity,0,No,30.038234155000001,-94.887333613999999,Lower Trinity,img/public_schools.png
-1,,LIBERTY,DAYTON,,,,Lower Trinity,0,No,30.038333318999999,-94.891449446999999,Lower Trinity,img/public_schools.png
-1,,LIBERTY,DAYTON,,,,Lower Trinity,0,No,30.041397392000000,-94.889054834999996,Lower Trinity,img/public_schools.png
-1,,LIBERTY,DAYTON,,,,Lower Trinity,0,No,30.046319469000000,-94.880003810000005,Lower Trinity,img/public_schools.png
-1,,LIBERTY,DAYTON,,,,Lower Trinity,0,No,30.061600255999998,-94.897068055999995,Lower Trinity,img/public_schools.png
-1,,LIBERTY,LIBERTY,,,,Lower Trinity,0,No,30.063884996999999,-94.800072176000000,Lower Trinity,img/public_schools.png
-1,,LIBERTY,DAYTON,,,,Lower Trinity,0,No,30.064554000000001,-94.905330000000006,Lower Trinity,img/public_schools.png
-1,,LIBERTY,DAYTON,,,,Lower Trinity,0,No,30.064649513999999,-94.905366935999993,Lower Trinity,img/public_schools.png
-1,,LIBERTY,LIBERTY,,,,Lower Trinity,0,No,30.064810081000001,-94.799800654999999,Lower Trinity,img/public_schools.png
-1,,LIBERTY,LIBERTY,,,,Lower Trinity,0,No,30.066071254000001,-94.801950782000006,Lower Trinity,img/public_schools.png
-1,,LIBERTY,LIBERTY,,,,Lower Trinity,0,No,30.070064589000001,-94.771975069999996,Lower Trinity,img/public_schools.png
-1,,LIBERTY,LIBERTY,,,,Lower Trinity,0,No,30.070078948999999,-94.772056544999998,Lower Trinity,img/public_schools.png
-1,,LIBERTY,LIBERTY,,,,Lower Trinity,0,No,30.070083000000000,-94.772199999999998,Lower Trinity,img/public_schools.png
-1,,LIBERTY,LIBERTY,,,,Lower Trinity,0,No,30.070094158000000,-94.772014248999994,Lower Trinity,img/public_schools.png
