NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
EAGLE HEIGHTS FELLOWSHIP,14120 HIGHWAY 146,DAYTON,TX,77535,BOTH,OPEN,LIBERTY,200,100,0,No,29.88668569,-94.89280006,Lower Trinity,img/shelters.png
VFW POST 5621,1520 NORTH MAIN STREET,LIBERTY,TX,77575,EVAC,OPEN,LIBERTY,219,50,0,No,30.07009064,-94.78908996,Lower Trinity,img/shelters.png
OLD RIVER BAPTIST,12948 FM 1409,DAYTON,TX,77535,BOTH,OPEN,LIBERTY,200,100,0,No,29.88912908,-94.81375202,Lower Trinity,img/shelters.png
KNIGHTS OF COLUMBUS,1404 LAKELAND DRIVE,LIBERTY,TX,77575,EVAC,OPEN,LIBERTY,104,52,0,No,30.06481626,-94.78450575,Lower Trinity,img/shelters.png
NORTH MAIN BAPTIST CHURCH,4709 NORTH MAIN,LIBERTY,TX,77575,EVAC,OPEN,LIBERTY,400,111,0,No,30.09510246,-94.75409854,Lower Trinity,img/shelters.png
WHITES PARK,225 WHITE MEMORIAL PARK DR,ANAHUAC,TX,77514,BOTH,OPEN,CHAMBERS,425,212,0,No,29.8365418,-94.64993325,Lower Trinity,img/shelters.png
LIBERTY CHURCH OF CHRIST,3201 NORTH MAIN,LIBERTY,TX,77575,BOTH,OPEN,LIBERTY,375,187,0,No,30.08103118,-94.77546982,Lower Trinity,img/shelters.png
BARBER'S HILL MIDDLE SCHOOL,9600 EAGLE DR,MONT BELVIEU,TX,77580,BOTH,OPEN,CHAMBERS,210,105,0,No,29.83863244,-94.85012685,Lower Trinity,img/shelters.png
DAVIS HILL BAPTIST CHURCH,6934 COUNTY ROAD 2252,CLEVELAND,TX,77328,BOTH,OPEN,LIBERTY,50,25,0,No,30.32683651,-94.85264445,Lower Trinity,img/shelters.png
LIBERTY COUNTY SHELTER/COMMUNITY CENTER,318 SAN JACINTO ST,LIBERTY,TX,77575,BOTH,OPEN,LIBERTY,157,78,0,No,30.05854277,-94.79288716,Lower Trinity,img/shelters.png
NEW LIFE CHURCH,3056 FM 1008,DAYTON,TX,77535,BOTH,OPEN,LIBERTY,239,119,0,No,30.09739223,-94.8582825,Lower Trinity,img/shelters.png
FIRST BAPTIST CHURCH,202 EAST HOUSTON ST,DAYTON,TX,77535,EVAC,OPEN,LIBERTY,325,162,0,No,30.04516679,-94.88606055,Lower Trinity,img/shelters.png
KENEFICK COMMUNITY CENTER,224 FM 2797,DAYTON,TX,77535,BOTH,OPEN,LIBERTY,1,1,0,No,30.10812039,-94.85621285,Lower Trinity,img/shelters.png
