OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,,BEACH CITY,,,,,0,No,29.689229480000002,-94.911633480000006,,img/substations.png
-1,,,BEACH CITY,,,,,0,No,29.689288731000001,-94.912225030000002,,img/substations.png
-1,,,BEACH CITY,,,,,0,No,29.719327171000000,-94.914357967000001,,img/substations.png
-1,,,BAYTOWN,,,,,1,Yes,29.746818708999999,-94.925782006000006,,img/substations.png
-1,,,BAYTOWN,,,,,1,Yes,29.746862721999999,-94.926553014999996,,img/substations.png
-1,,,BAYTOWN,,,,,0,No,29.748057157000002,-94.924895978999999,,img/substations.png
-1,,,BAYTOWN,,,,,0,No,29.750207744000001,-94.903801544000004,,img/substations.png
-1,,,BAYTOWN,,,,,0,No,29.750545930000001,-94.922496581000004,,img/substations.png
-1,,,BAYTOWN,,,,,0,No,29.753066012000001,-94.905404039999993,,img/substations.png
-1,,,BAYTOWN,,,,,0,No,29.757449318999999,-94.951284650000005,,img/substations.png
-1,,,BAYTOWN,,,,,0,No,29.757894610000001,-94.950142554999999,,img/substations.png
-1,,,BAYTOWN,,,,,0,No,29.758431995999999,-94.950980000000001,,img/substations.png
-1,,,BAYTOWN,,,,,0,No,29.759274891000000,-94.906460288000005,,img/substations.png
-1,,,MONT BELVIEU,,,,,0,No,29.772789387000000,-94.903365117999996,,img/substations.png
-1,,,MONT BELVIEU,,,,,0,No,29.773954713999998,-94.902687873999994,,img/substations.png
-1,,,MONT BELVIEU,,,,,0,No,29.828039181000001,-94.927870780999996,,img/substations.png
-1,,,MONT BELVIEU,,,,,1,Yes,29.829051911000001,-94.921404077000005,,img/substations.png
-1,,,MONT BELVIEU,,,,,0,No,29.836924950000000,-94.893162876000005,,img/substations.png
-1,,,MONT BELVIEU,,,,,0,No,29.838100587000000,-94.897519063999994,,img/substations.png
-1,,,MONT BELVIEU,,,,,0,No,29.838655644999999,-94.921516314000002,,img/substations.png
-1,,,MONT BELVIEU,,,,,0,No,29.840150556000001,-94.894008999999997,,img/substations.png
-1,,,MONT BELVIEU,,,,,0,No,29.845745614999998,-94.924480403000004,,img/substations.png
-1,,,MONT BELVIEU,,,,,0,No,29.850455542999999,-94.928222239999997,,img/substations.png
-1,,,MONT BELVIEU,,,,,0,No,29.850457959000000,-94.928219755000001,,img/substations.png
-1,,,MONT BELVIEU,,,,,0,No,29.853764398999999,-94.926024673000001,,img/substations.png
-1,,,MONT BELVIEU,,,,,0,No,29.854661325999999,-94.927422359000005,,img/substations.png
-1,,,MCNAIR,,,,,1,Yes,29.858967664000001,-94.980358820000006,,img/substations.png
-1,,,MONT BELVIEU,,,,,0,No,29.860719759999999,-94.940554844999994,,img/substations.png
-1,,,MONT BELVIEU,,,,,1,Yes,29.864687977999999,-94.942849093999996,,img/substations.png
-1,,,MONT BELVIEU,,,,,0,No,29.866995907000000,-94.928666825999997,,img/substations.png
-1,,,BARRETT,,,,,0,No,29.871998520999998,-95.019695921999997,,img/substations.png
-1,,,BARRETT,,,,,0,No,29.892729030999998,-95.023517065999997,,img/substations.png
-1,,,EASTGATE,,,,,0,No,30.050570677000000,-95.012916719000003,,img/substations.png
