NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
BEN GARZA GYM,1815 HOWARD ST,CORPUS CHRISTI,TX,78404,POST,OPEN,NUECES,0,125,0,No,27.79177768,-97.41012119,South Corpus Christi Bay,img/shelters.png
SALAZAR ELEMENTARY SCHOOL,400 WEST LIGUSTRUM,ROBSTOWN,TX,78380,POST,OPEN,NUECES,0,440,1,Yes,27.79788515,-97.67275322,South Corpus Christi Bay,img/shelters.png
HATTIE MARTIN ELEMENTARY SCHOOL,700 NORTH FIRST STREET,ROBSTOWN,TX,78380,POST,OPEN,NUECES,0,320,1,Yes,27.79671995,-97.66874986,South Corpus Christi Bay,img/shelters.png
SEALE JUNIOR HIGH SCHOOL,401 EAST AVENUE G,ROBSTOWN,TX,78380,POST,OPEN,NUECES,0,1709,1,Yes,27.79619245,-97.66338636,South Corpus Christi Bay,img/shelters.png
ORTIZ MIDDLE SCHOOL,208 EAST AVENUE H,ROBSTOWN,TX,78380,POST,OPEN,NUECES,0,600,1,Yes,27.79620091,-97.66633022,South Corpus Christi Bay,img/shelters.png
ROY MILLER HIGH SCHOOL,1 BATTLIN BUC BOULEVARD,CORPUS CHRISTI,TX,78408,POST,OPEN,NUECES,0,500,0,No,27.79505645,-97.4226542,South Corpus Christi Bay,img/shelters.png
WB RAY HIGH SCHOOL,1002 TEXAS TRAIL,CORPUS CHRISTI,TX,78404,POST,OPEN,NUECES,0,900,0,No,27.75248148,-97.39438762,South Corpus Christi Bay,img/shelters.png
ROBSTOWN HIGH SCHOOL,609 HIGHWAY 44,ROBSTOWN,TX,78380,POST,OPEN,NUECES,0,750,1,Yes,27.80107499,-97.67647251,South Corpus Christi Bay,img/shelters.png
CORPUS CHRISTI WARD,3001 HORNE RD,CORPUS CHRISTI,TX,78415,POST,OPEN,NUECES,0,50,0,No,27.74342079,-97.40833833,South Corpus Christi Bay,img/shelters.png
ROBSTOWN WARD LDS CHURCH,2120 FM 1889,ROBSTOWN,TX,78380,POST,OPEN,NUECES,0,50,0,No,27.81756398,-97.66489504,South Corpus Christi Bay,img/shelters.png
CORPUS CHRISTI STAKE CENTER LDS CHURCH,6630 WOOLDRIDGE RD,CORPUS CHRISTI,TX,78414,POST,OPEN,NUECES,485,242,0,No,27.68192789,-97.35885276,South Corpus Christi Bay,img/shelters.png
TRAVIS BAPTIST CHURCH GYM,5802 WEBER RD,CORPUS CHRISTI,TX,78413,POST,OPEN,NUECES,0,142,0,No,27.70911388,-97.40586025,South Corpus Christi Bay,img/shelters.png
FIRST BAPTIST CH. EDUCATION BUILDING,3115 OCEAN DR,CORPUS CHRISTI,TX,78404,POST,OPEN,NUECES,0,250,0,No,27.76314221,-97.38380927,South Corpus Christi Bay,img/shelters.png
FIRST BAPTIST CH RECREATIONAL CENTER,3115 OCEAN DR,CORPUS CHRISTI,TX,78404,POST,OPEN,NUECES,0,250,0,No,27.763699,-97.383331,South Corpus Christi Bay,img/shelters.png
LONDON ISD CAFE,1306 FM 43,CORPUS CHRISTI,TX,78415,POST,OPEN,NUECES,0,60,0,No,27.689238,-97.479635,South Corpus Christi Bay,img/shelters.png
LONDON ISD GYM,1306 FM 43,CORPUS CHRISTI,TX,78415,POST,OPEN,NUECES,422,211,0,No,27.68925424,-97.48036809,South Corpus Christi Bay,img/shelters.png
ANCEL R. BRUNDRETT MIDDLE SCHOOL,100 STATION STREET,PORT ARANSAS,TX,78373,POST,OPEN,NUECES,0,203,0,No,27.83114426,-97.06127076,South Corpus Christi Bay,img/shelters.png
COMMUNITY CENTER,101 EAST BRUNDRETT,PORT ARANSAS,TX,78373,BOTH,OPEN,NUECES,240,120,1,Yes,27.83559257,-97.06091538,South Corpus Christi Bay,img/shelters.png
POLLOCK CENTER,113 SOUTH ALISTER STREET,PORT ARANSAS,TX,78373,BOTH,OPEN,NUECES,89,44,1,Yes,27.83183697,-97.06326458,South Corpus Christi Bay,img/shelters.png
CIVIC CENTER,710 WEST AVENUE A,PORT ARANSAS,TX,78373,BOTH,OPEN,NUECES,390,195,1,Yes,27.83548412,-97.0686538,South Corpus Christi Bay,img/shelters.png
GREENWOOD SENIOR CENTER,4201 GREENWOOD,CORPUS CHRISTI,TX,78415,POST,OPEN,NUECES,0,150,1,Yes,27.7570003,-97.43363668,South Corpus Christi Bay,img/shelters.png
