OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,,INGLESIDE ON-THE-BAY,,,,,1,Yes,27.600067745000000,-97.221482452000004,,img/substations.png
-1,,,CHAPMAN RANCH,,,,,0,No,27.607642079000001,-97.312987289000006,,img/substations.png
-1,,,CHAPMAN RANCH,,,,,0,No,27.659181219000001,-97.382448605999997,,img/substations.png
-1,,,INGLESIDE ON-THE-BAY,,,,,0,No,27.679261574000002,-97.271372224999993,,img/substations.png
-1,,,CORPUS CHRISTI,,,,,0,No,27.681755713000001,-97.352423017999996,,img/substations.png
-1,,,CORPUS CHRISTI,,,,,0,No,27.695790878000000,-97.373396917999997,,img/substations.png
-1,,,CORPUS CHRISTI,,,,,0,No,27.704766453000001,-97.354507174999995,,img/substations.png
-1,,,CORPUS CHRISTI,,,,,0,No,27.708461530000001,-97.397400332000004,,img/substations.png
-1,,,CORPUS CHRISTI,,,,,0,No,27.720418110000001,-97.437729525999998,,img/substations.png
-1,,,INGLESIDE ON-THE-BAY,,,,,1,Yes,27.725328256000001,-97.142160532999995,,img/substations.png
-1,,,CORPUS CHRISTI,,,,,0,No,27.731760111000000,-97.383378394999994,,img/substations.png
-1,,,CORPUS CHRISTI,,,,,1,Yes,27.734627742000001,-97.452203886999996,,img/substations.png
-1,,,NOT AVAILABLE,,,,,0,No,27.745749986000000,-97.421717084999997,,img/substations.png
-1,,,NOT AVAILABLE,,,,,0,No,27.784436319000001,-97.405567548999997,,img/substations.png
-1,,,NOT AVAILABLE,,,,,1,Yes,27.790026958999999,-97.658891902999997,,img/substations.png
-1,,,NOT AVAILABLE,,,,,0,No,27.796363998000000,-97.445954106000002,,img/substations.png
-1,,,VIOLA,,,,,0,No,27.796780437999999,-97.485480843999994,,img/substations.png
-1,,,NOT AVAILABLE,,,,,0,No,27.804962499999998,-97.456969900000004,,img/substations.png
-1,,,VIOLET,,,,,0,No,27.805728193000000,-97.571488044000006,,img/substations.png
-1,,,CORPUS CHRISTI,,,,,0,No,27.807936994999999,-97.420151473999994,,img/substations.png
-1,,,CORPUS CHRISTI,,,,,0,No,27.808125766000000,-97.431349613999998,,img/substations.png
-1,,,NOT AVAILABLE,,,,,0,No,27.809904352000000,-97.496738003999994,,img/substations.png
-1,,,VIOLET,,,,,0,No,27.811061163000002,-97.596036444999996,,img/substations.png
-1,,,CORPUS CHRISTI,,,,,0,No,27.811434281000000,-97.444418791000004,,img/substations.png
-1,,,CORPUS CHRISTI,,,,,0,No,27.812821506999999,-97.444173706000001,,img/substations.png
-1,,,VIOLET,,,,,0,No,27.813275441999998,-97.587279870000003,,img/substations.png
-1,,,CORPUS CHRISTI,,,,,0,No,27.814298321999999,-97.427002955999995,,img/substations.png
-1,,,VIOLA,,,,,0,No,27.814948406999999,-97.480580951999997,,img/substations.png
-1,,,VIOLA,,,,,0,No,27.815115382999998,-97.483271842999997,,img/substations.png
-1,,,NOT AVAILABLE,,,,,1,Yes,27.820541873000000,-97.071875900999999,,img/substations.png
-1,,,NOT AVAILABLE,,,,,0,No,27.847076066000000,-97.719042024000004,,img/substations.png
-1,,,NORTH SAN PEDRO,,,,,0,No,27.849226654999999,-97.646227776999993,,img/substations.png
