OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,,WINNIE,,,,,1,Yes,29.825299999999999,-94.226699999999994,Sabine Lake,img/fm_towers.png
-1,,,FANNETT,,,,,1,Yes,29.892499999999998,-94.135000000000005,Sabine Lake,img/fm_towers.png
-1,,,PORT ARTHUR,,,,,0,No,29.906900000000000,-93.924199999999999,Sabine Lake,img/fm_towers.png
-1,,,BEAUMONT,,,,,1,Yes,29.914400000000001,-94.284999999999997,Sabine Lake,img/fm_towers.png
-1,,,VIDOR,,,,,0,No,29.976400000000002,-93.933999999999997,Sabine Lake,img/fm_towers.png
-1,,,GROVES,,,,,0,No,29.976400000000002,-93.933899999999994,Sabine Lake,img/fm_towers.png
-1,,,SILSBEE,,,,,1,Yes,29.988600000000002,-94.244699999999995,Sabine Lake,img/fm_towers.png
-1,,,BEAUMONT,,,,,1,Yes,29.988900000000001,-94.245000000000005,Sabine Lake,img/fm_towers.png
-1,,,GROVES,,,,,0,No,30.094999999999999,-94.132499999999993,Sabine Lake,img/fm_towers.png
-1,,,BEAUMONT,,,,,0,No,30.094999999999999,-94.132499999999993,Sabine Lake,img/fm_towers.png
