NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
FIRST BAPTIST CHURCH,200 WEST ROUNDBURCH  ROAD,BRIDGE CITY,TX,77611,POST,OPEN,ORANGE,0,150,0,No,30.03192503,-93.83682658,Sabine Lake,img/shelters.png
CENTRAL MIDDLE SCHOOL,200 17TH ST,NEDERLAND,TX,77627,EVAC,OPEN,JEFFERSON,0,480,0,No,29.97139729,-93.99529211,Sabine Lake,img/shelters.png
PORT ARTHUR'S YOUNG MEN'S CHRISTIAN ASSOCIATION,6760 9TH AVE,PORT ARTHUR,TX,77642,POST,OPEN,JEFFERSON,0,197,1,Yes,29.9418523,-93.96519998,Sabine Lake,img/shelters.png
ROBERT E. LEE ELEMENTARY,3939 DELAWARE DR,PORT ARTHUR,TX,77642,POST,OPEN,JEFFERSON,0,84,0,No,29.90593694,-93.91077562,Sabine Lake,img/shelters.png
OGDEN ELEMENTARY,2300 VICTORIA,BEAUMONT,TX,77701,POST,OPEN,JEFFERSON,0,423,0,No,30.06401012,-94.09676994,Sabine Lake,img/shelters.png
LAMAR MCDONALD GYM,4400 MLK PARKWAY,BEAUMONT,TX,77705,POST,OPEN,JEFFERSON,0,375,0,No,30.04380557,-94.07756901,Sabine Lake,img/shelters.png
DIOCESE OF BEAUMONT -- ST. ELIZABETH'S CATHOLIC CHURCH,2006 NALL ST,PORT NECHES,TX,77651,POST,OPEN,JEFFERSON,0,78,0,No,29.98258351,-93.96105013,Sabine Lake,img/shelters.png
VANBUREN ELEMENTARY,6400 VAN BUREN,GROVES,TX,77619,POST,OPEN,JEFFERSON,0,184,0,No,29.9561757,-93.92585964,Sabine Lake,img/shelters.png
EUGENE FIELD ELEMENTARY,4315 CONCORD,BEAUMONT,TX,77703,POST,OPEN,JEFFERSON,0,142,0,No,30.11618208,-94.13679062,Sabine Lake,img/shelters.png
WOODROW WILSON MIDDLE SCHOOL,1500 LAKESHORE DR,PORT ARTHUR,TX,77640,POST,OPEN,JEFFERSON,0,1334,0,No,29.87820999,-93.92578375,Sabine Lake,img/shelters.png
PORT ARTHUR SENIOR CITIZEN'S AND RECREATION CENTER,1308 9TH AVE,PORT ARTHUR,TX,77642,POST,OPEN,JEFFERSON,0,160,0,No,29.90622015,-93.91657611,Sabine Lake,img/shelters.png
IMMACULATE CONCEPTION CURCH,6250 WASHINGTON,GROVES,TX,77619,POST,OPEN,JEFFERSON,0,180,0,No,29.94766583,-93.91972317,Sabine Lake,img/shelters.png
FRANKLIN ELEMENTARY,1000 10TH ST,PORT ARTHUR,TX,77640,POST,OPEN,JEFFERSON,0,1080,0,No,29.87940139,-93.93667455,Sabine Lake,img/shelters.png
VINCENT MIDDLE SCHOOL,350 ELDRIDGE DR,BEAUMONT,TX,77707,POST,OPEN,JEFFERSON,0,552,0,No,30.07393505,-94.18630112,Sabine Lake,img/shelters.png
ST. JOSEPH CHURCH,1115 ORANGE,BEAUMONT,TX,77701,POST,OPEN,JEFFERSON,0,90,0,No,30.07224291,-94.10192908,Sabine Lake,img/shelters.png
SOUTH PARK MIDDLE SCHOOL,4500 HIGHLAND AVE,BEAUMONT,TX,77705,POST,OPEN,JEFFERSON,0,1037,0,No,30.04260487,-94.08486695,Sabine Lake,img/shelters.png
SALLIE CURTIS,6225 N CIRCUIT,BEAUMONT,TX,77706,POST,OPEN,JEFFERSON,0,175,0,No,30.08859388,-94.16524036,Sabine Lake,img/shelters.png
DIOCESE OF BEAUMONT -- CRISTO REY CATHOLIC CHURCH,767 AVE A,BEAUMONT,TX,77701,POST,OPEN,JEFFERSON,0,123,0,No,30.07464729,-94.10533065,Sabine Lake,img/shelters.png
REGINA-HOWELL ELEMENTARY,5850 REGINA LANE,BEAUMONT,TX,77706,POST,OPEN,JEFFERSON,0,175,0,No,30.10193704,-94.16120784,Sabine Lake,img/shelters.png
FEHL ELEMENTARY,3350 BLANCHETTE ST,BEAUMONT,TX,77701,POST,OPEN,JEFFERSON,0,175,0,No,30.063731,-94.124038,Sabine Lake,img/shelters.png
CALDWOOD ELEMENARTY,102 BERKSHIRE,BEAUMONT,TX,77707,POST,OPEN,JEFFERSON,0,175,0,No,30.07910379,-94.15421042,Sabine Lake,img/shelters.png
DIOCESE OF BEAUMONT -- ST. CATHERINE CATHOLIC CHURCH,3706 WOODROW DRIVE,PORT ARTHUR,TX,77642,POST,OPEN,JEFFERSON,0,173,0,No,29.92559553,-93.93351587,Sabine Lake,img/shelters.png
EDISON MIDDLE SCHOOL,3501 12TH STREET,PORT ARTHUR,TX,77642,POST,OPEN,JEFFERSON,0,200,0,No,29.90367025,-93.91975626,Sabine Lake,img/shelters.png
FLETCHER ELEMENTARY,1055 AVENUE F,BEAUMONT,TX,77701,POST,OPEN,JEFFERSON,0,360,0,No,30.06911589,-94.10721403,Sabine Lake,img/shelters.png
