OBJECTID,HUC12,NAME,lat,lng
20,120904010205,Boone Branch-San Bernard River,29.480181557832680,-96.044108844747370
21,120904010204,Sandy Branch-West Bernard Creek,29.415070252290377,-96.076055468085372
22,120904010106,120904010106,29.666647096985969,-96.213300185355251
24,120904010305,Bell Creek-San Bernard River,29.111391719052619,-95.701113544354541
28,120904010307,120904010307,28.984968111389264,-95.550594501834780
70,120904010302,Linnville Bayou-San Bernard River,29.275933107826688,-95.890049254969085
106,120904010201,Gum Tree Branch-West Bernard Creek,29.549348983868583,-96.260235241762985
109,120904010207,Snake Creek-San Bernard River,29.389277357863818,-95.931748621201848
110,120904010107,East Bernard Creek,29.689272585461481,-96.178930883753253
120,120904010308,Jones Creek-San Bernard River,28.937756473882189,-95.455230803059067
160,120904010101,Little San Bernard River,29.797617460177719,-96.406367758265390
161,120904010104,Coushatta Creek-San Bernard River,29.728312153683021,-96.349033518182296
195,120904010102,Yellow Creek-San Bernard River,29.841217639782315,-96.388203530368571
198,120904010202,Clarks Branch-West Bernard Creek,29.462534125349634,-96.193951183400372
202,120904010306,City of Brazoria-San Bernard River,29.048275081030226,-95.629234797248046
252,120904010304,Cannon Gully-San Bernard River,29.187728823726275,-95.780203407261411
295,120904010103,Little Bernard Creek,29.792247315960935,-96.253015872884191
299,120904010109,Elm Slough-San Bernard River,29.604186524288707,-96.096851536768952
305,120904010301,Cedar Creek,29.334238713745719,-95.842266428352957
306,120904010303,Mound Creek,29.270833800739354,-95.761006737870616
345,120904010105,Upper Middle Bernard Creek,29.652632456123001,-96.327667192986553
347,120904010206,Peach Creek,29.358915201475440,-96.111685338607458
348,120904010203,Turkey Creek,29.516717067238915,-95.976122579293587
349,120904010108,Lower Middle Bernard Creek,29.583421308646507,-96.169275504161135
