OBJECTID,HUC12,NAME,lat,lng
26,120401020202,Threemile Creek-Brushy Creek,30.172173260887348,-95.875332983730175
34,120401020213,Spring Creek,30.071461998972154,-95.352379252700302
114,120401020102,Live Oak Creek,29.947885988447638,-95.938234334846641
115,120401020103,Mallard Lake-Cypress Creek,29.959224024768957,-95.839077919810109
165,120401020201,Kickapoo Creek-Spring Creek,30.123815393365760,-95.904619445730816
166,120401020205,Sugar Creek-Spring Creek,30.102881556638579,-95.733784563506788
168,120401020210,Willow Creek,30.085618237191966,-95.605676169519597
169,120401020204,Mink Branch-Walnut Creek,30.167996513428420,-95.755075577675711
172,120401020107,Turkey Creek-Cypress Creek,30.039028709307559,-95.416594285797601
206,120401020104,Dry Creek-Cypress Creek,29.974612113858029,-95.703512305148706
207,120401020105,Little Cypress Creek,30.036811407420544,-95.763956422450917
257,120401020101,Mound Creek-Cypress Creek,30.029551476419556,-95.929168222535395
258,120401020206,Hurricane Creek-Mill Creek,30.304117470245103,-95.860936889126094
259,120401020207,Kachel Lake-Mill Creek,30.250984752144632,-95.770516055871269
260,120401020208,Decker Branch-Mill Creek,30.184804886536313,-95.679022410555774
261,120401020209,Dry Creek-Spring Creek,30.168944098491409,-95.588100211555457
263,120401020106,Marshall Lake-Cypress Creek,30.018612096970742,-95.566418262992386
315,120401020211,Bear Branch-Panther Branch,30.211076552141208,-95.532829300431843
359,120401020203,Birch Creek-Walnut Creek,30.238971904130096,-95.865305804619140
363,120401020212,Panther Branch-Spring Creek,30.132127200210164,-95.455571464451509
