NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
FIRST UNITED METHODIST CHURCH,4308 WEST DAVIS,CONROE,TX,77304,EVAC,OPEN,MONTGOMERY,296,148,0,No,30.33199779,-95.50820491,West Fork San Jacinto,img/shelters.png
FIRST BAPTIST CHURCH,25503 FM 2100,HUFFMAN,TX,77336,EVAC,OPEN,HARRIS,100,50,0,No,30.03965337,-95.08994998,West Fork San Jacinto,img/shelters.png
CONROE HIGH SCHOOL,3200 W DAVIS (SH105),CONROE,TX,77304,BOTH,OPEN,MONTGOMERY,1040,520,0,No,30.3214236,-95.48414005,West Fork San Jacinto,img/shelters.png
MONTGOMERY COLLEGE,3200 COLLEGE PARK DRIVE,CONROE,TX,77384,POST,OPEN,MONTGOMERY,0,200,0,No,30.21051935,-95.46881737,West Fork San Jacinto,img/shelters.png
KINGWOOD UNITED METHODIST CHURCH,1799 WOODLAND HILLS DR,KINGWOOD,TX,77339,EVAC,OPEN,HARRIS,200,100,0,No,30.04125417,-95.21964856,West Fork San Jacinto,img/shelters.png
FIRST BAPTIST CHURCH - WILLIS,12177 I-45 NORTH,WILLIS,TX,77318,EVAC,OPEN,MONTGOMERY,300,150,0,No,30.41560358,-95.4925771,West Fork San Jacinto,img/shelters.png
FIRST UNITED METHODIST CHURCH OF HUMBLE,800 E MAIN ST,HUMBLE,TX,77338,EVAC,OPEN,HARRIS,240,120,0,No,29.9960964,-95.2591593,West Fork San Jacinto,img/shelters.png
STRAWBRIDGE UNITED METHODIST CHURCH,5629 KINGWOOD DR,KINGWOOD,TX,77345,EVAC,OPEN,HARRIS,280,214,0,No,30.0554627,-95.16096208,West Fork San Jacinto,img/shelters.png
WALKER COUNTY STORM SHELTER,455 STATE HIGHWAY 75 N,HUNTSVILLE,TX,77320,BOTH,OPEN,WALKER,600,300,0,No,30.73587874,-95.58330079,West Fork San Jacinto,img/shelters.png
WILLIS HIGH SCHOOL,FM 830 HIGHWAY 75,WILLIS,TX,77378,BOTH,OPEN,MONTGOMERY,300,150,0,No,30.39206522,-95.47762367,West Fork San Jacinto,img/shelters.png
KINGWOOD CHURCH OF CHRIST,2901 WOODLAND HILLS DR,KINGWOOD,TX,77339,BOTH,OPEN,HARRIS,1497,748,0,No,30.05426837,-95.21445434,West Fork San Jacinto,img/shelters.png
FIRST UNITED METHODIST CHURCH - WILLIS,200 N THOMASON,WILLIS,TX,77378,BOTH,OPEN,MONTGOMERY,159,100,0,No,30.42529715,-95.48200831,West Fork San Jacinto,img/shelters.png
LIVING SAVIOR LUTHERAN CHURCH,309 POND STREET,MONTGOMERY,TX,77356,EVAC,OPEN,MONTGOMERY,225,22,0,No,30.38927545,-95.69773604,West Fork San Jacinto,img/shelters.png
MONTGOMERY COUNTY ISD 9TH GRADE CAMPUS,22825 HWY 105 WEST,MONTGOMERY,TX,77356,BOTH,OPEN,MONTGOMERY,323,161,0,No,30.38712836,-95.72016753,West Fork San Jacinto,img/shelters.png
CORNERSTONE CHURCH,100 MOSSWOOD DR,CONROE,TX,77302,BOTH,OPEN,MONTGOMERY,233,116,0,No,30.25337234,-95.45562175,West Fork San Jacinto,img/shelters.png
NORTH MONTGOMERY COUNTY COMMUNITY CENTER,600 GERALD,WILLIS,TX,77378,BOTH,OPEN,MONTGOMERY,289,144,0,No,30.43037475,-95.4912423,West Fork San Jacinto,img/shelters.png
VFW POST 4709,1303 W SEMANDS AVE,CONROE,TX,77305,BOTH,OPEN,MONTGOMERY,102,51,0,No,30.32199823,-95.47218921,West Fork San Jacinto,img/shelters.png
MONTGOMERY HIGH SCHOOL,22825 HWY 105 WEST,MONTGOMERY,TX,77356,BOTH,OPEN,MONTGOMERY,931,465,0,No,30.38745828,-95.72147258,West Fork San Jacinto,img/shelters.png
HARDY ELEMENTARY SCHOOL-WILLIS,701 GERALD ST,WILLIS,TX,77378,BOTH,OPEN,MONTGOMERY,394,197,0,No,30.42874396,-95.4903757,West Fork San Jacinto,img/shelters.png
COMMUNITY CHURCH OF GOD,11920 STIDHAM RD,CONROE,TX,77302,BOTH,OPEN,MONTGOMERY,74,37,0,No,30.25030617,-95.39597798,West Fork San Jacinto,img/shelters.png
LONE STAR COMMUNITY CENTER,2500 LONE STAR PARKWAY,MONTGOMERY,TX,77356,BOTH,OPEN,MONTGOMERY,1,1,0,No,30.40136901,-95.70470124,West Fork San Jacinto,img/shelters.png
LIGHT COMMUNITY FELLOWSHIP,13145 I-45 NORTH,WILLIS,TX,77318,BOTH,OPEN,MONTGOMERY,540,270,0,No,30.43185806,-95.49619991,West Fork San Jacinto,img/shelters.png
CONROE FIRST ASSEMBLY OF GOD,3993 I-45 NORTH,CONROE,TX,77304,BOTH,OPEN,MONTGOMERY,456,228,0,No,30.36450283,-95.48704857,West Fork San Jacinto,img/shelters.png
FELLOWSHIP OF HUNTSVILLE CHURCH,3895 HWY 30 W,HUNTSVILLE,TX,77340,BOTH,OPEN,WALKER,363,181,0,No,30.70058728,-95.61228915,West Fork San Jacinto,img/shelters.png
