OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,GALVESTON,JAMAICA BEACH,,,,JAMAICA BEACH POLICE DEPARTMENT,1,Yes,29.182214699999999,-94.974877199999995,West Galveston Bay,img/police.png
-1,,BRAZORIA,LIVERPOOL,,,,LIVERPOOL POLICE DEPARTMENT,0,No,29.296432500000002,-95.276613900000001,West Galveston Bay,img/police.png
-1,,GALVESTON,GALVESTON,,,,GALVESTON INDEPENDENT SCHOOL DISTRICT POLICE DEPARTMENT,1,Yes,29.287833700000000,-94.810733700000000,West Galveston Bay,img/police.png
-1,,GALVESTON,GALVESTON,,,,GALVESTON COUNTY SHERIFFS DEPARTMENT / GALVESTON COUNTY JAIL,1,Yes,29.293214100000000,-94.831334299999995,West Galveston Bay,img/police.png
-1,,GALVESTON,GALVESTON,,,,GALVESTON POLICE DEPARTMENT,1,Yes,29.293215600000000,-94.831335199999998,West Galveston Bay,img/police.png
-1,,GALVESTON,TIKI ISLAND,,,,TIKI ISLAND POLICE DEPARTMENT,1,Yes,29.299311500000002,-94.907250500000004,West Galveston Bay,img/police.png
-1,,GALVESTON,GALVESTON,,,,GALVESTON CITY FIRE MARSHALS OFFICE,1,Yes,29.300704700000001,-94.795334400000002,West Galveston Bay,img/police.png
-1,,GALVESTON,GALVESTON,,,,GALVESTON COUNTY CONSTABLE - PRECINCT 1 AND 2,1,Yes,29.302384499999999,-94.788321900000000,West Galveston Bay,img/police.png
-1,,GALVESTON,GALVESTON,,,,GALVESTON PARK BOARD OF TRUSTEES BEACH PATROL,1,Yes,29.303220199999998,-94.796013599999995,West Galveston Bay,img/police.png
-1,,GALVESTON,GALVESTON,,,,PORT OF GALVESTON POLICE DEPARTMENT,1,Yes,29.308553900000000,-94.796403600000005,West Galveston Bay,img/police.png
-1,,GALVESTON,GALVESTON,,,,UNIVERSITY OF TEXAS MEDICAL SCHOOL - GALVESTON POLICE,1,Yes,29.310605200000001,-94.775881100000007,West Galveston Bay,img/police.png
-1,,GALVESTON,GALVESTON,,,,TEXAS A AND M UNIVERSITY AT GALVESTON POLICE DEPARTMENT - MITCHELL CAMPUS,0,No,29.314604100000000,-94.817466300000007,West Galveston Bay,img/police.png
-1,,GALVESTON,BAYOU VISTA,,,,BAYOU VISTA POLICE DEPARTMENT,1,Yes,29.329018500000000,-94.934189500000002,West Galveston Bay,img/police.png
-1,,GALVESTON,HITCHCOCK,,,,HITCHCOCK POLICE DEPARTMENT,0,No,29.348335899999999,-95.018868999999995,West Galveston Bay,img/police.png
-1,,GALVESTON,SANTA FE,,,,GALVESTON COUNTY CONSTABLE - PRECINCT 4,0,No,29.368888599999998,-95.076019599999995,West Galveston Bay,img/police.png
-1,,GALVESTON,SANTA FE,,,,SANTA FE POLICE DEPARTMENT,0,No,29.370790000000000,-95.081364899999997,West Galveston Bay,img/police.png
-1,,GALVESTON,LA MARQUE,,,,LA MARQUE CITY FIRE MARSHALS OFFICE,0,No,29.368866900000000,-94.971027199999995,West Galveston Bay,img/police.png
-1,,GALVESTON,LA MARQUE,,,,LA MARQUE POLICE DEPARTMENT,0,No,29.374430199999999,-94.971372000000002,West Galveston Bay,img/police.png
-1,,GALVESTON,LA MARQUE,,,,LA MARQUE INDEPENDENT SCHOOL DISTRICT POLICE,0,No,29.375697899999999,-94.993780200000003,West Galveston Bay,img/police.png
-1,,GALVESTON,LA MARQUE,,,,GALVESTON COUNTY CONSTABLE - PRECINCT 3,0,No,29.377267499999999,-94.992358699999997,West Galveston Bay,img/police.png
-1,,GALVESTON,SANTA FE,,,,SANTA FE INDEPENDENT SCHOOL DISTRICT POLICE DEPARTMENT - SANTA FE JUNIOR HIGH SCHOOL,0,No,29.381819100000001,-95.107467600000007,West Galveston Bay,img/police.png
-1,,BRAZORIA,ALVIN,,,,HILLCREST VILLAGE CITY MARSHALS OFFICE,1,Yes,29.393170099999999,-95.226182300000005,West Galveston Bay,img/police.png
-1,,GALVESTON,SANTA FE,,,,SANTA FE INDEPENDENT SCHOOL DISTRICT POLICE DEPARTMENT - SANTA FE HIGH SCHOOL,0,No,29.392131899999999,-95.141214599999998,West Galveston Bay,img/police.png
-1,,GALVESTON,TEXAS CITY,,,,GALVESTON COUNTY CONSTABLE - PRECINCT 5,0,No,29.384272800000002,-94.931535999999994,West Galveston Bay,img/police.png
