OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,,,,,,,1,Yes,29.285253001099999,-94.862982999699994,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.285431000599999,-94.862982999899998,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.288469000999999,-94.850278000800003,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.288603000199998,-94.850350000500001,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.288503001300001,-94.838018999300004,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.288667000600000,-94.837958000100002,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.291261000399999,-94.876528000500002,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.296206001400002,-94.887606000000005,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.307683000299999,-94.906406000100006,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.307922000800001,-94.906852999999998,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.322344000200001,-94.923233000099998,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.322411001100001,-94.923175000100002,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.322531001100000,-94.923056000299994,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.329350000400002,-94.931438999899996,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.330478000999999,-94.934060999300002,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.330683001099999,-94.934322000400002,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.343294000499998,-94.949572000100005,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.343392001100000,-94.949419000000006,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.344075000400000,-94.950588999900006,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.354553001199999,-94.971483000000006,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.354806001200000,-94.973178000100006,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,1,Yes,29.355053001100000,-94.973205999599998,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,0,No,29.357614001400002,-94.979586000400005,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,0,No,29.366161000599998,-94.992483000700005,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,0,No,29.370397000400001,-94.998055999900004,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,0,No,29.376689001199999,-95.005868999399993,West Galveston Bay,img/p_bridge.png
-1,,,,,,,,0,No,29.378614000999999,-95.008252999500002,West Galveston Bay,img/p_bridge.png
