OID,LocationID,County,City,FullName,OwnerType,FSSName,Name_1,SFHA,In_SFHA,lat,lng,Watershed,logo_url
-1,,,,,,,,1,Yes,29.211928000699999,-95.207877999900006,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.224786000999998,-94.914507999899996,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.244106000999999,-95.173863999800005,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.261825000900000,-95.182178000500002,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.261375001099999,-95.153897000499995,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.277622000600001,-95.202566999799998,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.267089001100000,-94.873764000099996,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.269189000899999,-94.846464000300003,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.269319000399999,-94.846124999899999,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.286681000900000,-95.273372000099997,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.289392000500001,-95.235317000199998,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.289339001199998,-95.217607999999998,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.286364000500001,-95.131382999500005,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.292731001000000,-95.282092000199995,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.298739001200001,-95.243678000100005,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.284492000200000,-94.835628000499995,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.284608000500000,-94.835844000099996,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.302464001000001,-95.266736000199998,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.307586000800001,-95.265747000000005,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.307286000600001,-95.240700000199993,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.296958001099998,-94.825831000299999,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.301064000600000,-94.905146999500005,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.297885999999998,-94.826149999999998,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.299642000399999,-94.826769000300004,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.311289000700000,-95.097802999999999,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.314214000400000,-95.095324999599995,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.305064000200002,-94.826742000600007,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.325894000500000,-95.290568999399994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.320536000499999,-95.080835999700000,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.330067001000000,-95.298481000199999,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.329275001300001,-95.263889000700004,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.333069000599998,-95.258613999399998,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.334169000700001,-95.240564000399999,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.335836000600001,-95.284553000299994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.335617001500001,-95.102952999600006,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.340014000400000,-95.215910999900004,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.330250000600000,-94.935999999800003,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.331697001300000,-94.944900000000004,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.331953000900000,-94.949808000199994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.335525000699999,-95.024163999699994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.333050000400000,-94.931710999600000,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.326708000699998,-94.773247000699996,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.335111001200001,-94.972207999899993,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.327125000799999,-94.773131000199996,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.337667001100002,-95.031571999999997,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.327267000799999,-94.773203000099997,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.327650000399998,-94.773144000299993,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.348906000200000,-95.301632999700004,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.345058001600002,-95.194935999999998,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.336783000800001,-94.977722000000000,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.352225000699999,-95.380163999499999,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.347781000800001,-95.226908000600005,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.342147001099999,-95.037168999299993,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.340342000300002,-94.989407999500003,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.346375000999998,-95.140871999900000,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.334272001599999,-94.749602999900006,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.355636000800001,-95.291794000099998,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.342303000600001,-94.928750000500003,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.353044001000001,-95.186247000300000,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.354717000299999,-95.220099999900000,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.344189001099998,-94.938466999699997,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.357386000300000,-95.256035999500000,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.350819000600001,-95.037088999500000,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.357769001000001,-95.211267000500001,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.351083000799999,-95.025202999699999,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.354361000400001,-95.098592000699995,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.354361000400001,-95.098592000699995,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.351469001300000,-95.014888999799993,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.349069001200000,-94.941938999800001,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.360339001000000,-95.228321999900004,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.360553000900001,-95.228202999999993,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.351853000799998,-94.993364000900002,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.353383000699999,-95.030405999500005,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.354028001600000,-95.034914000200004,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.353517001099998,-95.020182999900001,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.358431000700001,-95.127317000800005,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.350900000700001,-94.925046999900005,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.355525000899998,-95.039300000400004,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.358075000500001,-95.046716999899999,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.368292000899999,-95.287092000000001,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.357481001099998,-95.003782999300000,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.366378000499999,-95.211474999999993,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.370889000700000,-95.323449999399998,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.371086000700000,-95.323188999899997,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.358075001100001,-94.973591999299998,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.356225000900000,-94.922747000699999,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.361964001400001,-95.058013999500005,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.358261001599999,-94.957155999999998,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.370319000700000,-95.263802999899994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.367742000900002,-95.187814000700001,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.359658000700001,-94.974292000099993,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.371628001000001,-95.226146999799994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.361908000600000,-94.954214000500002,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.367203000699998,-95.073263999700004,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.374672000699999,-95.261186000300000,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.381508000699998,-95.427382999700001,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.374186000700000,-95.192360999900004,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.363800000600001,-94.920358000400000,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.381200000500002,-95.365435999499994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.382664000300000,-95.366957999600004,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.386767001199999,-95.427080999099999,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.386769000800001,-95.426603000399993,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.375656001599999,-95.097872000099997,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.380558001099999,-95.213402999099998,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.388761000999999,-95.409947000200006,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.384919001000000,-95.274363999900004,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.384239000800001,-95.247960999800000,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.375692000899999,-95.008249999499995,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.377897001299999,-95.026032999600005,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.380511000900000,-95.085211000499996,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.380700000800001,-95.089471999400004,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.380497000799998,-95.080952999999994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.393450000900000,-95.426417000499995,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.393544000500000,-95.426696999699999,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.393719000699999,-95.427160999999998,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.393719000699999,-95.427160999999998,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.393839000200000,-95.427428000500001,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.381675000600001,-95.098031000099994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.382456000700000,-95.099730999700000,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.391642001299999,-95.321392000100005,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.390881001299999,-95.281288999300003,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.384353001400001,-95.105491999700007,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.390369000300002,-95.251702999700001,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.396039000399998,-95.392328000800006,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.386528000999999,-95.129566999299996,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.391467001300001,-95.252400000500003,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.381958000899999,-94.972891999500007,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.382283000699999,-94.972550000200002,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.381714000700001,-94.942633000399994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.394389001000000,-95.266999999899994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.385933000900000,-95.030924999800007,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.382636001400002,-94.942650000300006,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.383550001000000,-94.942650000100002,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.396739000800000,-95.268855999699994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.396739000800000,-95.268855999699994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.401392001100000,-95.393682999500001,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.397958001300001,-95.289494000600001,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.397958001300001,-95.289494000600001,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.392661001000000,-95.147172000599994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.385564000700001,-94.951046999699997,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.405064000900001,-95.440814000200007,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.394697000699999,-95.153024999899998,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.404331000199999,-95.410388999600002,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.391458000699998,-95.065069000400001,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.388139000599999,-94.968110999199993,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.400042000300001,-95.270792000300005,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.399194001200001,-95.245414000500006,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.405442000299999,-95.412036000100002,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.399106000500002,-95.215007999700006,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.391103000000001,-94.965203000700001,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.403131001300000,-95.273021999299999,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.409389001000001,-95.443786000399996,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.395092001199998,-95.042667000099996,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.399964000600001,-95.168208000000007,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.410197000600000,-95.418361000199994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.406553000500001,-95.299486000200005,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.406553000500001,-95.299486000200005,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.401397000700001,-95.140092000500005,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.395939000100000,-94.991022000499996,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.393347000599999,-94.919096999900006,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.392158000700000,-94.889331000200002,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.395486001300000,-94.969758000499993,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.395294001200000,-94.963313999799993,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.395314000900001,-94.963643999100000,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.396208000900000,-94.986142000100003,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.396333000399999,-94.986264000899993,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.395233001000001,-94.955571999900002,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.395397000900001,-94.955608000300003,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.395708000199999,-94.963017000700006,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.395258000599998,-94.950971999199993,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.395403001199998,-94.951119000099993,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.395992001000000,-94.964072000100003,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.395986000800001,-94.962818999800007,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.395339000300002,-94.944333000800000,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.397736000300000,-95.003460999900000,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.397417000800001,-94.988914000500003,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.402467001100000,-95.110694000099997,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.398147000400002,-94.987953000499999,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.408928000700001,-95.254267000200002,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.406622001300001,-95.187580999999994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.408778000600002,-95.232589000900006,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.409019000800001,-95.233241999800001,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.415217000799998,-95.394072000400001,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.409431001000002,-95.233906000199994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.401419000499999,-95.020188999499993,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.398550001499999,-94.946599999399993,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.408122001199999,-95.181550000300007,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.408092000500002,-95.163341999699995,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.418103001100000,-95.426956000499999,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.405022000999999,-95.031233000599997,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.407947001099998,-95.092000000200002,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.410156000800001,-95.110691999799997,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.403014000900001,-94.919182999399993,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.412756000300000,-95.167113999899996,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.403653000799999,-94.914147000400007,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.406961000399999,-94.996228000599999,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.413553001000000,-95.164830999700001,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.405906000500000,-94.955616999699998,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.424453000400000,-95.436799999800002,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.406386001000001,-94.954861000400001,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.422592000800002,-95.375349999899996,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.424175001300000,-95.410827999800006,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.407933000500002,-94.968317000599995,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.424811001300000,-95.410944000399994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.418772001099999,-95.236735999900006,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.410458001100000,-95.020191999900007,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.424961000700002,-95.401767000800007,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.407956000599999,-94.953296999499997,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.407981000600000,-94.947278000300003,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.408019000500001,-94.919563999900006,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.408008001500001,-94.913797000299994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.421303001100000,-95.238335999599997,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.408611001600001,-94.907871999799994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.410783000199999,-94.958268999599994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.410800000300000,-94.958650000199995,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.408722001099999,-94.902817000300004,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.408597000800000,-94.893655999299995,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.408697000200000,-94.893689000500004,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.413144000599999,-95.001842000400003,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.413144000599999,-95.001842000400003,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.414528000200001,-95.031158000299996,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.423278000900002,-95.227366999200001,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.423347000800000,-95.227543999800005,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.425067000500000,-95.241938999499993,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.417550000500000,-95.031166999999996,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.423189000400001,-95.176006000399994,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.427011000800000,-95.244200000299998,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.428125001200002,-95.255466999399999,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.424908000700000,-95.155731000000003,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.415064000699999,-94.893747000800005,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,0,No,29.415292001099999,-94.893722000200000,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.425361000900001,-95.096880999400000,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.433183000700001,-95.286713999900002,West Galveston Bay,img/s_bridge.png
-1,,,,,,,,1,Yes,29.433094000699999,-95.273758000399994,West Galveston Bay,img/s_bridge.png
