NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,COUNTY,EVAC_CAP,POST_CAP,SFHA,In_SFHA,lat,lng,Watershed,logo_url
CLEAR CREEK INDEPENDENT SCHOOL DISTRICT,2425 EAST MAIN STREET,LEAGUE CITY,TX,77573,EVAC,OPEN,GALVESTON,100,50,0,No,29.52588762,-95.07186763,West Galveston Bay,img/shelters.png
FIRST PRESBYTERIAN CHURCH,2930 EAST BROADWAY,PEARLAND,TX,77581,EVAC,OPEN,BRAZORIA,400,200,1,Yes,29.55728169,-95.26792894,West Galveston Bay,img/shelters.png
ABUNDANT LIFE CHRISTIAN CENTER,601 DELANY ROAD,LA MARQUE,TX,77568,EVAC,OPEN,GALVESTON,800,400,0,No,29.38073981,-95.01902139,West Galveston Bay,img/shelters.png
KNIGHTS OF COLUMBUS COUNCIL  8494,4889 WEST MAIN STREET (FM518),LEAGUE CITY,TX,77573,EVAC,OPEN,GALVESTON,100,50,0,No,29.48956794,-95.14832151,West Galveston Bay,img/shelters.png
NASSAU BAY BAPTIST CHURCH,18131 NASSAU BAY DR,HOUSTON,TX,77058,EVAC,OPEN,HARRIS,200,160,1,Yes,29.54485382,-95.09938833,West Galveston Bay,img/shelters.png
"CROSBY MIDDLE SCHOOL, MOONEY GYM",7805 NEVILLE,HITCHCOCK,TX,77563,POST,OPEN,GALVESTON,632,316,1,Yes,29.34608962,-95.01613347,West Galveston Bay,img/shelters.png
BALL HIGH SCHOOL,4115 AVE O,GALVESTON,TX,77550,POST,OPEN,GALVESTON,0,1433,1,Yes,29.28751813,-94.81161669,West Galveston Bay,img/shelters.png
SEABROOK COMMUNITY HOUSE CENTER,1210 ANDERS,SEABROOK,TX,77586,EVAC,OPEN,HARRIS,140,70,1,Yes,29.56400242,-95.02485255,West Galveston Bay,img/shelters.png
FRIENDSWOOD UNITED METHODIST CHURCH,204 W EDGEWOOD,FRIENDSWOOD,TX,77546,EVAC,OPEN,GALVESTON,250,183,0,No,29.53404473,-95.20929191,West Galveston Bay,img/shelters.png
UNIVERSITY BAPTIST CHURCH,16106 MIDDLEBROOK DR,HOUSTON,TX,77059,EVAC,OPEN,HARRIS,200,130,0,No,29.59329676,-95.10401129,West Galveston Bay,img/shelters.png
WESTWOOD ELEMENTARY SCHOOL,506 WEST EDGEWOOD DR,FRIENDSWOOD,TX,77546,EVAC,OPEN,GALVESTON,100,215,0,No,29.52830144,-95.21298286,West Galveston Bay,img/shelters.png
FRITZ BARNETT INTERMEDIATE SCHOOL,4135 WARPATH,SANTA FE,TX,77510,POST,OPEN,GALVESTON,1014,507,0,No,29.38152135,-95.10735445,West Galveston Bay,img/shelters.png
GLORIA DEI LUTHERAN CHURCH,18220 UPPER BAY ROAD,HOUSTON,TX,77058,EVAC,OPEN,HARRIS,250,185,0,No,29.54768943,-95.08904686,West Galveston Bay,img/shelters.png
