OBJECTID,HUC12,NAME,lat,lng
10,121004020101,Kuester Lake-Gracitas Creek,28.995504957887533,-97.026877916882313
11,121004020202,Arenosa Creek,29.016651000443346,-96.856515980028405
12,121004020303,Ninemile Creek-Placedo Creek,28.692256340157996,-96.756694135026294
13,121004020205,Arenosa Creek-Garcitas Creek,28.833521935289127,-96.699338088182174
14,121004020305,Sixmile Creek-Lavaca Bay,28.669422023707455,-96.634870520058428
61,121004020201,Brown Creek-Arenosa Creek,29.045322963783804,-96.948103673745493
63,121004020500,Powderhorn Lake-Matagorda Bay,28.491809916194711,-96.588389292132092
64,121004020204,Dry Creek-Arenosa Creek,28.942614906552762,-96.756801155249093
103,121004020301,Arroyo Palo Alto,28.770447185888941,-96.842439330910338
157,121004020302,Placedo Creek,28.779435643540182,-96.902472817766295
159,121004020102,Willow Creek-Garcitas Creek,28.919862292610787,-96.921900805377845
244,121004020400,Chocolate Bayou,28.629666757914606,-96.772468376814118
291,121004020104,Marcado Creek-Gracitas Creek,28.837266740167991,-96.821976861243115
292,121004020304,Agula Creek-Placedo Creek,28.747670488102585,-96.741500070172037
293,121004020206,Garcitas Creek-Frontal Lavaca Bay,28.759464367386670,-96.641447455535626
294,121004020203,Leona Creek-Arenosa Creek,28.957631858923207,-96.839434767900173
341,121004020103,Casa Blanca Creek,28.862530663259577,-96.876368481819952
